antibody_id,combined_hydrophobic_area,vh_hydrophobic_surface_area,vl_min_cys_spacing,vh_min_cys_spacing,vl_hydrophobic_surface_area,vl_avg_cys_spacing,vh_avg_cys_spacing,vh_turn_formers_count,vh_helix_formers_count,vl_turn_formers_count,vl_charge_separation,vl_flexible_residues_count,vh_surface_polar_count,vh_core_size,vh_hydrophobic_core_count,vh_flexible_residues_count,combined_net_charge,vl_helix_formers_count,vh_charge_separation,vl_surface_polar_count,vh_sheet_formers_count,vl_max_cys_spacing,vl_sheet_formers_count,cdr_total_net_charge,vh_net_charge,vl_sheet_breakers_count,vl_helix_breakers_count,vl_high_curvature_regions,vl_thermal_stability_sum,vh_high_curvature_regions,vh_sheet_breakers_count,vh_helix_breakers_count,vl_hydrophobic_core_count,vl_core_size,vl_net_charge,vh_thermal_stability_sum,vh_vl_charge_balance,vh_negative_charge_count,cdr_negative_charge_total,vh_positive_charge_count,vh_thermal_motif_balance,cdr_heavy_vs_light_charge_gap,vl_estimated_tm_contribution,vh_rigid_residues_count,vl_positive_charge_count,vl_negative_charge_count,cdr_positive_charge_total,vh_estimated_tm_contribution,vh_absolute_charge,vl_absolute_charge,cdr_h3_net_charge,vl_rigid_residues_count,cdr_charge_symmetry_ratio,cdr_l2_hydrophobicity_mean,full_aromatic_stacking_count,vh_thermolabile_GG_count,cdr_h2_net_charge,vh_thermal_motif_ratio,vh_flexibility_ratio,cdr_l1_net_charge,cdr_h3_negative_charge_count,vl_thermal_motif_balance,cdr_l2_net_charge,vl_aa_diversity,cdr_h2_negative_charge_count,vh_vhh_vhh_stable_YY,vh_thermostable_YY_count,cdr_l3_hydrophobicity_mean,cdr_h2_hydrophobicity_mean,vl_flexibility_ratio,vh_vhh_vhh_stable_DY,vh_thermostable_DY_count,cdr_h3_positive_charge_count,vh_max_cys_spacing,cdr_l3_net_charge,cdr_l1_negative_charge_count,cdr_h1_net_charge,cdr_l2_positive_charge_count,vh_max_hydrophobic_patch,cdr_max_hydrophobicity_mean,cdr_h2_positive_charge_count,vl_thermolabile_GG_count,vl_thermal_motif_ratio,cdr_l1_hydrophobicity_mean,cdr_l2_negative_charge_count,cdr_min_hydrophobicity_mean,vh_aa_diversity,HIC_delta_G_ML,PR_CHO,AC-SINS_pH7.4_nmol/mg,Tm2_DSF_degC,Titer_g/L
GDPa1-001,212.9,99.6,65.0,74.0,113.3,65.0,74.0,33.0,36.0,32.0,44.583333333333336,36.0,54.0,37.0,37.0,40.0,7.5,31.0,36.81730769230769,51.0,34.0,65.0,32.0,-1.0,4.5,16.0,16.0,16.0,-8.3,17.0,17.0,17.0,32.0,32.0,3.0,-9.500000000000002,1.5,8.0,3.0,13.0,2.0,3.0,78.03738317757009,8.0,12.0,7.0,2.0,79.74789915966386,4.5,3.0,-1.0,5.0,3.0,-0.1166666666666666,3.0,0.0,-1.0,2.0,4.444444444444445,-1.0,1.0,-1.0,1.0,19.0,1.0,1.0,1.0,-0.6222222222222222,-0.8624999999999999,6.0,0.0,0.0,0.0,74.0,1.0,1.0,0.0,1.0,2.0,-0.0375,0.0,2.0,0.3333333333333333,-0.0375,-0.0,-0.8624999999999999,20.0,2.59,0.337837415,2.125,83.08,140.25
GDPa1-002,204.6,105.7,65.0,74.0,98.9,65.0,74.0,32.0,32.0,32.0,39.04285714285714,37.0,56.0,37.0,37.0,41.0,2.0,26.0,35.14,54.0,36.0,65.0,31.0,2.0,-0.5,15.0,15.0,15.0,-9.1,15.0,15.0,15.0,28.0,28.0,2.5,-8.0,3.0,10.0,2.0,10.0,2.0,1.0,77.4766355140187,7.0,10.0,7.0,4.0,79.15254237288136,0.5,2.5,0.0,7.0,0.5,-0.8999999999999999,4.0,1.0,1.0,1.5,5.125,-1.0,1.0,3.0,1.5,20.0,-0.0,1.0,1.0,-1.3777777777777778,-1.0375,4.625,1.0,1.0,1.0,74.0,0.0,1.0,0.5,1.5,2.0,-0.06,1.0,0.0,3.0,-0.3125,-0.0,-1.3777777777777778,20.0,2.545,0.205246232,1.5,80.33,193.31
GDPa1-003,243.6,135.7,65.0,73.0,107.9,65.0,73.0,28.0,23.0,31.0,37.12222222222222,35.0,58.0,42.0,42.0,40.0,-1.0,26.0,38.06363636363636,52.0,42.0,65.0,32.0,-3.0,-1.5,16.0,16.0,16.0,-8.600000000000001,13.0,13.0,13.0,31.0,31.0,0.5,-4.199999999999998,2.0,11.0,6.0,10.0,4.0,4.0,78.97196261682242,9.0,10.0,9.0,3.0,81.83333333333334,1.5,0.5,-2.0,7.0,1.3333333333333333,-1.4833333333333332,3.0,0.0,-2.0,4.0,4.0,-2.0,2.0,0.0,1.5,20.0,2.0,1.0,1.0,-0.9888888888888888,-1.0875,4.375,2.0,2.0,0.0,73.0,1.0,2.0,0.5,1.5,4.0,0.0615384615384615,0.0,1.0,0.5,-0.3125,-0.0,-1.4833333333333332,20.0,2.705,0.138772594,1.0,85.03,114.75
GDPa1-004,217.8,113.5,65.0,74.0,104.3,65.0,74.0,32.0,31.0,36.0,39.767857142857146,38.0,58.0,37.0,37.0,39.0,-2.5,27.0,35.83076923076923,52.0,35.0,65.0,30.0,-5.5,-3.5,16.0,16.0,16.0,-9.400000000000002,16.0,16.0,16.0,33.0,33.0,1.0,-11.1,4.5,13.0,6.0,10.0,1.0,3.5,80.28037383177569,8.0,8.0,7.0,0.5,80.0,3.5,1.0,-1.0,9.0,0.6363636363636364,-0.4333333333333334,3.0,1.0,-3.0,1.0,4.333333333333333,0.0,1.0,1.0,-1.0,19.0,3.0,1.0,1.0,-1.1,-1.7374999999999998,3.8,0.0,0.0,0.0,74.0,0.0,-0.0,-0.5,0.0,2.0,0.4624999999999999,0.0,0.0,1.0,0.4624999999999999,1.0,-1.7374999999999998,19.0,2.565,0.0,-0.375,75.93,327.32
GDPa1-005,238.6,134.3,65.0,74.0,104.3,65.0,74.0,33.0,32.0,31.0,41.121212121212125,35.0,55.0,44.0,44.0,38.0,3.0,30.0,33.84090909090909,52.0,40.0,65.0,30.0,1.0,-2.0,15.0,15.0,15.0,-7.7,13.0,13.0,13.0,31.0,31.0,5.0,-4.700000000000001,7.0,12.0,3.0,11.0,3.0,5.0,78.97196261682242,6.0,11.0,6.0,4.0,81.2396694214876,2.0,5.0,-1.0,7.0,5.0,0.3999999999999999,2.0,1.0,0.5,1.6666666666666667,5.428571428571429,1.0,1.0,1.0,0.0,19.0,-0.0,1.0,1.0,-2.1222222222222222,-0.0625000000000001,4.375,3.0,3.0,0.0,74.0,2.0,-0.0,-1.5,0.0,3.0,0.3999999999999999,0.5,0.0,1.0,-0.3875,-0.0,-2.1222222222222222,20.0,2.495,0.183386944,7.5,84.84,313.39
GDPa1-006,231.7,128.6,65.0,74.0,103.1,65.0,74.0,32.0,34.0,36.0,41.958333333333336,40.0,54.0,42.0,42.0,38.0,9.5,25.0,34.790849673202615,54.0,41.0,65.0,30.0,3.5,7.5,15.0,15.0,15.0,-8.9,18.0,18.0,18.0,30.0,30.0,2.0,-6.600000000000002,5.5,9.0,2.0,17.0,2.0,3.5,77.66355140186916,7.0,8.0,6.0,5.5,80.80645161290322,7.5,2.0,2.0,7.0,1.0,0.3833333333333333,5.0,1.0,1.0,1.3333333333333333,4.75,0.0,1.0,0.0,0.0,19.0,1.0,3.0,3.0,-1.011111111111111,-0.75,5.0,0.0,0.0,3.0,74.0,0.0,-0.0,0.5,0.0,4.0,0.3833333333333333,2.0,1.0,0.5,-0.3,-0.0,-1.0923076923076924,20.0,2.46,0.3387489,27.0,85.88,367.3
GDPa1-007,232.3,127.6,65.0,76.0,104.7,65.0,76.0,32.0,30.0,32.0,40.29761904761905,37.0,56.0,40.0,40.0,39.0,7.0,27.0,33.00925925925926,57.0,39.0,65.0,30.0,3.0,2.5,14.0,14.0,14.0,-9.8,17.0,17.0,17.0,29.0,29.0,4.5,-6.2,2.0,9.0,5.0,12.0,3.0,2.0,77.85046728971963,9.0,12.0,7.0,8.0,81.2396694214876,2.5,4.5,-0.5,7.0,0.6666666666666666,-1.8166666666666664,3.0,0.0,2.0,3.0,3.9,0.0,2.0,1.0,0.0,20.0,1.0,1.0,1.0,-1.1666666666666663,-1.4,4.625,1.0,1.0,1.5,76.0,2.5,1.0,-1.0,0.0,3.0,0.0199999999999999,3.0,0.0,1.0,-1.3625,-0.0,-1.8166666666666664,20.0,2.45,0.162422898,-1.375,80.75,190.23
GDPa1-008,232.7,123.7,71.0,74.0,109.0,71.0,74.0,39.0,26.0,34.0,41.629629629629626,38.0,54.0,40.0,40.0,45.0,1.5,27.0,36.06060606060606,56.0,37.0,71.0,35.0,0.0,1.5,15.0,15.0,15.0,-9.0,17.0,17.0,17.0,32.0,32.0,0.0,-9.1,1.5,9.0,2.0,11.0,0.0,2.0,78.84955752212389,6.0,9.0,9.0,2.0,78.98305084745763,1.5,0.0,-1.0,8.0,2.0,0.95,3.0,3.0,0.0,0.75,6.428571428571429,1.0,2.0,2.0,0.0,19.0,-0.0,1.0,1.0,0.2,0.0374999999999999,4.222222222222222,0.0,0.0,1.0,74.0,0.0,-0.0,0.0,0.0,3.0,0.95,0.0,0.0,2.0,-0.7999999999999999,-0.0,-1.2076923076923078,20.0,2.535,,3.125,77.64,89.39
GDPa1-009,191.7,105.9,64.0,74.0,85.8,64.0,74.0,39.0,29.0,36.0,39.75757575757576,40.0,57.0,34.0,34.0,44.0,3.5,27.0,39.25925925925926,56.0,35.0,64.0,28.0,2.0,2.5,14.0,14.0,14.0,-11.6,18.0,18.0,18.0,28.0,28.0,1.0,-11.900000000000002,1.5,9.0,2.0,12.0,0.0,4.0,77.54716981132076,7.0,11.0,9.0,4.0,77.56302521008404,2.5,1.0,-1.0,8.0,2.0,-0.1,2.0,1.0,0.0,0.6666666666666666,5.5,0.5,2.0,1.0,1.0,20.0,-0.0,0.0,0.0,-0.8888888888888893,-0.25,4.444444444444445,1.0,1.0,1.0,74.0,1.5,-0.0,0.0,1.0,3.0,-0.1,0.0,0.0,1.0,-0.2125,-0.0,-1.153846153846154,20.0,2.67,0.387663837,18.125,,224.95
GDPa1-010,224.3,118.6,65.0,73.0,105.7,65.0,73.0,33.0,22.0,30.0,37.81818181818182,36.0,52.0,36.0,36.0,41.0,4.0,27.0,33.825,54.0,42.0,65.0,31.0,1.0,1.5,14.0,14.0,14.0,-8.4,16.0,16.0,16.0,30.0,30.0,2.5,-6.699999999999998,1.0,8.0,2.0,10.0,3.0,2.0,77.85046728971963,8.0,11.0,8.0,3.0,79.56521739130434,1.5,2.5,-1.0,6.0,2.0,-1.95,3.0,1.0,0.0,2.0,4.555555555555555,0.0,1.0,0.0,1.0,20.0,-0.0,2.0,2.0,-1.2555555555555555,-0.3500000000000001,5.142857142857143,1.0,1.0,0.0,73.0,0.5,1.0,0.5,1.0,3.0,0.77,0.0,1.0,0.5,-0.6875,-0.0,-1.95,20.0,3.155,0.179621132,-0.5,81.515,291.17
