antibody_id,combined_net_charge,vh_vl_thermal_balance,vl_charge_separation,vl_surface_polar_fraction,vh_charge_separation,vh_positive_charge_clustering,vl_negative_charge_clustering,vh_avg_local_entropy,cdr_entropy_std,vh_most_frequent_aa_fraction,vh_charge_ratio,vh_helix_formers_propensity,vl_surface_charge_density,vh_turn_formers_propensity,vl_entropy_normalized,vl_avg_local_entropy,vl_sequence_entropy,cdr_total_net_charge,vh_stabilizing_LEWV_count,vh_entropy_variation,vl_flexible_residues_count,cdr_h2_hydrophobicity_mean,vh_sheet_formers_propensity,vl_unfolding_resistance,cdr_global_charge_density,vl_thermal_stability_score,vh_vl_hydrophobic_balance,cdr_h2_net_charge,vh_vhh_fr1_thermal_score,cdr_h3_hydrophobicity_mean,vh_sheet_formers_count,vl_thermal_stability_sum,vh_surface_polar_fraction,vh_net_charge,vl_motif_risk,vl_turn_formers_propensity,vh_thermolabile_DN_count,predicted_thermal_stability,vh_negative_charge_clustering,combined_risk_score,vh_flexibility_ratio,vh_thermal_stability_std,vh_charge_density
GDPa1-001,7.5,0.0022618393151653,44.583333333333336,0.4766355140186916,36.81730769230769,1.0265995686556433,0.8337662337662338,2.7733457198106573,0.2352932734382015,0.1176470588235294,1.4444444444444444,0.3025210084033613,0.1775700934579439,0.2773109243697479,0.916566967120513,2.7439338795362747,3.961336526043847,-1.0,0.0,0.2005358202262951,36.0,-0.8624999999999999,0.2857142857142857,0.3317757009345794,-0.0185185185185185,-0.0775700934579439,0.0226969292389853,-1.0,-0.0566666666666666,-0.7461538461538463,34.0,-8.3,0.453781512605042,4.5,0.1514150943396226,0.2990654205607476,0.0,0.7208583994345402,1.030940594059406,2.9252856663460443,4.444444444444445,0.4597368322711206,0.0378151260504201
GDPa1-002,2.0,0.0172501188024711,39.04285714285714,0.5046728971962616,35.14,1.0836734693877552,0.8337662337662338,2.7777773728874,0.1747834328797315,0.1271186440677966,0.9090909090909092,0.2711864406779661,0.1588785046728972,0.2711864406779661,0.9233890424988386,2.760738532148701,3.990821045286872,2.0,0.0,0.302769867526814,37.0,-1.0375,0.3050847457627119,0.3271028037383178,0.037037037037037,-0.0850467289719626,0.0255821321083478,1.0,-0.1066666666666666,-0.3846153846153847,36.0,-9.1,0.4745762711864407,-0.5,0.3028301886792453,0.2990654205607476,0.0,0.7186131791541264,1.0114285714285716,2.145664804275424,5.125,0.4565681407053641,0.0042372881355932
GDPa1-003,-1.0,0.0453738317757009,37.12222222222222,0.4859813084112149,38.06363636363636,1.0693069306930694,0.8492063492063492,2.7941561975932445,0.2838811045469784,0.1416666666666666,0.8333333333333334,0.1916666666666666,0.1775700934579439,0.2333333333333333,0.9286336533966691,2.7856886596776462,4.013487876472958,-3.0,0.0,0.2370202034143544,35.0,-1.0875,0.35,0.3364485981308411,-0.0555555555555555,-0.0803738317757009,0.0342679127725856,-2.0,-0.0133333333333333,0.0615384615384615,42.0,-8.600000000000001,0.4833333333333333,-1.5,0.1514150943396226,0.2897196261682243,0.0,0.7429044003115265,0.974025974025974,2.009941456057559,4.0,0.4565541223849224,0.0125
GDPa1-004,-2.5,0.0062173293204498,39.767857142857146,0.4859813084112149,35.83076923076923,1.2642857142857142,0.8337662337662338,2.8033264292470004,0.1471254527529806,0.135593220338983,0.7142857142857143,0.2627118644067797,0.1401869158878504,0.2711864406779661,0.9256690056485932,2.736208838253489,4.000674882079104,-5.5,0.0,0.287449592794983,38.0,-1.7374999999999998,0.2966101694915254,0.322429906542056,-0.1018518518518518,-0.0878504672897196,0.0024552510692222,-3.0,-0.06,-0.9230769230769232,35.0,-9.400000000000002,0.4915254237288136,-3.5,0.1514150943396226,0.3364485981308411,0.0,0.7213006890543323,1.0085470085470083,2.322514273838731,4.333333333333333,0.4641909989855607,0.0296610169491525
GDPa1-005,3.0,0.0331196416158183,41.121212121212125,0.4859813084112149,33.84090909090909,1.1956521739130437,0.8180428134556574,2.885233675205872,0.2383554316051351,0.1322314049586777,0.8461538461538461,0.2644628099173554,0.1588785046728972,0.2727272727272727,0.9210790520350262,2.766050789781893,3.9808374326024,1.0,1.0,0.2585785184323395,35.0,-0.0625000000000001,0.3305785123966942,0.3364485981308411,0.0185185185185185,-0.0719626168224299,0.0480420174557812,0.5,-0.0733333333333333,0.2076923076923077,40.0,-7.7,0.4545454545454545,-2.0,0.1514150943396226,0.2897196261682243,1.0,0.7424196725110064,0.9320728291316528,2.763328090518896,5.428571428571429,0.4678722543789004,0.0165289256198347
GDPa1-006,9.5,0.029951763641845,41.958333333333336,0.5046728971962616,34.790849673202615,1.0060851926977687,0.8180428134556574,2.768714616551242,0.3044513301803171,0.1209677419354838,1.7,0.2741935483870967,0.1308411214953271,0.2580645161290322,0.8957079798609866,2.6417512616919705,3.871185482976002,3.5,1.0,0.3012895984936407,40.0,-0.75,0.3306451612903225,0.3130841121495327,0.0648148148148148,-0.0831775700934579,0.032861018993066,1.0,-0.0466666666666666,-1.0923076923076924,41.0,-8.9,0.4354838709677419,7.5,0.1514150943396226,0.3364485981308411,1.0,0.7292977464576424,0.966861598440546,3.817400420528921,4.75,0.4744156820068525,0.0604838709677419
GDPa1-007,7.0,0.0403491156252413,40.29761904761905,0.5327102803738317,33.00925925925926,1.0981848184818483,0.8337662337662338,2.8369495680321086,0.4646786830355662,0.1074380165289256,1.2,0.2479338842975206,0.1775700934579439,0.2644628099173554,0.9363390025899408,2.785458493872357,4.046789841632276,3.0,0.0,0.2472446600333009,37.0,-1.4,0.3223140495867768,0.3271028037383178,0.0555555555555555,-0.0915887850467289,0.0419402178110759,2.0,-0.06,-0.8769230769230769,39.0,-9.8,0.4628099173553719,2.5,0.1514150943396226,0.2990654205607476,0.0,0.7293081408820576,0.968968968968969,2.911549294563484,3.9,0.4715221881985269,0.0206611570247933
GDPa1-008,1.5,0.0025273736313184,41.629629629629626,0.495575221238938,36.06060606060606,1.062106210621062,0.8512241054613936,2.812373249900745,0.3430942556272658,0.1271186440677966,1.1,0.2203389830508474,0.1592920353982301,0.3305084745762712,0.936779221899898,2.742092914480326,4.048692437835892,0.0,0.0,0.2874714977310792,38.0,0.0374999999999999,0.3135593220338983,0.331858407079646,0.0,-0.079646017699115,0.0388480575971201,0.0,-0.0933333333333333,-1.2076923076923078,37.0,-9.0,0.4576271186440678,1.5,0.3026785714285714,0.3008849557522124,0.0,0.7211975026248687,0.928220255653884,1.81189489244951,6.428571428571429,0.4851019492620314,0.0127118644067796
GDPa1-009,3.5,0.0094339622641509,39.75757575757576,0.5283018867924528,39.25925925925926,1.0694444444444442,0.8488488488488489,2.806313594816557,0.325398906106847,0.1512605042016806,1.2,0.2436974789915966,0.1886792452830188,0.3277310924369748,0.9203466583181472,2.7689476155953106,3.9776720796209,2.0,0.0,0.2575691041266538,40.0,-0.25,0.2941176470588235,0.3113207547169811,0.037037037037037,-0.1094339622641509,0.0225939432376724,0.0,-0.1233333333333333,-1.153846153846154,35.0,-11.6,0.4789915966386555,2.5,0.1514285714285714,0.3396226415094339,0.0,0.6968891707626447,1.0074074074074073,2.0494179602884355,5.5,0.4692207020442414,0.0210084033613445
GDPa1-010,4.0,0.0202438033319788,37.81818181818182,0.5046728971962616,33.825,1.1129032258064515,0.8434684684684685,2.738691836405874,0.3976763036253755,0.1130434782608695,1.1111111111111112,0.1913043478260869,0.1775700934579439,0.2869565217391304,0.929375296498165,2.7379396928210427,4.016693204629692,1.0,0.0,0.2411141213562096,36.0,-0.3500000000000001,0.3652173913043478,0.3317757009345794,0.0185185185185185,-0.0785046728971962,0.0059325477448192,0.0,-0.0633333333333333,-0.2923076923076922,42.0,-8.4,0.4521739130434782,1.5,0.1514150943396226,0.2803738317757009,0.0,0.7258943518894758,0.9675480769230768,2.447009537543558,4.555555555555555,0.4690383517638304,0.0130434782608695
GDPa1-011,0.5,0.0363288288288288,36.10714285714285,0.4774774774774775,36.42424242424242,1.1363636363636362,0.9522058823529412,2.792667092543504,0.1774189299275056,0.1416666666666666,1.1,0.25,0.1351351351351351,0.3083333333333333,0.9103197808901587,2.704531648702879,3.934336636360885,-5.0,0.0,0.1905800835019458,47.0,-1.3125,0.3166666666666666,0.2882882882882883,-0.0925925925925925,-0.1288288288288288,0.004054054054054,-1.0,-0.1233333333333333,-0.5769230769230769,38.0,-14.3,0.4416666666666666,2.0,0.1513636363636363,0.3963963963963964,0.0,0.6964954954954955,0.943952802359882,1.9936182229522283,4.1,0.4761236709091452,0.0166666666666666
GDPa1-012,0.5,0.0111823361823362,37.83950617283951,0.4814814814814814,41.15151515151515,0.9930555555555556,0.8495575221238938,2.871819483728174,0.4651972044743384,0.1282051282051282,1.0,0.2564102564102564,0.1666666666666666,0.2735042735042735,0.8904101297043873,2.722711779281232,3.848288555541692,-3.5,0.0,0.1902605659942171,36.0,-0.2624999999999999,0.3418803418803419,0.3333333333333333,-0.0648148148148148,-0.0675925925925926,0.0014245014245014,-2.0,-0.0933333333333333,-1.1538461538461535,40.0,-7.300000000000002,0.4444444444444444,0.5,0.4542188326573796,0.2962962962962963,0.0,0.7406036324786325,0.9330143540669856,1.6903681911508517,3.888888888888889,0.4790276146750851,0.0042735042735042
GDPa1-013,0.5,0.0738967781340663,39.603305785123965,0.5225225225225225,34.25,1.2196382428940569,0.8551617873651772,2.8358125847829787,0.2548847527927567,0.1271186440677966,1.0,0.2372881355932203,0.1981981981981982,0.3135593220338983,0.9409645526790972,2.817261664491913,4.0667811365169095,-2.0,1.0,0.269215223300456,39.0,-0.425,0.3474576271186441,0.3243243243243243,-0.037037037037037,-0.1171171171171171,0.0771873568483738,0.0,-0.0566666666666666,-0.4615384615384615,41.0,-13.000000000000004,0.3983050847457627,1.0,0.1513636363636363,0.3243243243243243,1.0,0.722575584058635,0.9833333333333332,2.131231815498796,5.714285714285714,0.4894616228717955,0.0084745762711864
GDPa1-014,2.5,0.0052035482338032,40.523809523809526,0.4766355140186916,37.48484848484848,1.1788211788211789,0.8337662337662338,2.85052735544106,0.2454957832650999,0.1271186440677966,1.1,0.2542372881355932,0.1495327102803738,0.2966101694915254,0.912694917550282,2.72115283059822,3.944601806221469,-0.5,1.0,0.2636036005637134,34.0,-0.1875,0.3220338983050847,0.3411214953271028,-0.0092592592592592,-0.0532710280373831,0.004197687311896,0.0,-0.0866666666666666,-1.4,38.0,-5.7,0.4152542372881356,1.0,0.1514150943396226,0.2803738317757009,0.0,0.7485995168699509,0.928220255653884,2.031736347309388,3.5454545454545454,0.4835122684693881,0.0084745762711864
GDPa1-015,3.5,0.0876515151515151,28.25,0.5181818181818182,36.4,1.2,1.4322916666666663,2.8382475038761616,0.4170474472379633,0.1166666666666666,1.1111111111111112,0.2166666666666666,0.1272727272727272,0.2833333333333333,0.896324642811867,2.6276682067541204,3.873850655908488,-2.0,1.0,0.2564027947021712,49.0,0.475,0.3583333333333333,0.2772727272727273,-0.037037037037037,-0.1218181818181818,0.0954545454545454,0.0,-0.0866666666666666,0.3230769230769231,43.0,-13.4,0.425,2.0,0.1513761467889908,0.3909090909090909,1.0,0.7110643939393939,0.9210526315789476,2.2137684108855136,6.0,0.4815765486630575,0.0166666666666666
GDPa1-016,3.0,0.0127626050420167,36.621212121212125,0.4821428571428571,35.675925925925924,1.1729390681003586,0.8556149732620321,2.8147417257681933,0.2448558881370516,0.1428571428571428,1.2,0.226890756302521,0.2053571428571428,0.3361344537815126,0.9218544291402124,2.758180625437604,3.984188556697436,-0.5,1.0,0.3039139095543554,35.0,-0.9,0.3193277310924369,0.34375,-0.0092592592592592,-0.1026785714285714,0.0089285714285714,2.0,-0.0866666666666666,-1.669230769230769,38.0,-11.5,0.4621848739495798,2.5,0.1513513513513513,0.3125,2.0,0.7097702205882354,0.9278752436647172,2.1309728758689226,7.5,0.4760472679700127,0.0210084033613445
GDPa1-017,7.5,0.0427350427350427,33.56060606060606,0.5192307692307693,37.875,1.1171875,0.9629629629629628,2.803590001775349,0.3048679983378566,0.1282051282051282,1.3333333333333333,0.282051282051282,0.1634615384615384,0.2649572649572649,0.8976103497282039,2.703240223873626,3.879407388751996,1.5,0.0,0.2479124394729153,40.0,-0.9125,0.3162393162393162,0.3076923076923077,0.0277777777777777,-0.0999999999999999,0.0309829059829059,-1.0,-0.0533333333333333,-0.8923076923076922,37.0,-10.4,0.4700854700854701,3.0,0.1514563106796116,0.3365384615384615,0.0,0.7157345085470086,1.5511363636363635,3.281834501528178,4.75,0.4539129475854174,0.0256410256410256
