antibody_id,cdr_pc_1,cdr_pc_2,cdr_pc_3,cdr_pc_4,cdr_pc_5,cdr_pc_6,cdr_pc_7,cdr_pc_8,cdr_pc_9,cdr_pc_10,cdr_pc_11,cdr_pc_12,cdr_pc_13,cdr_pc_14,cdr_pc_15,cdr_pc_16,cdr_pc_17,cdr_pc_18,cdr_pc_19,cdr_pc_20,mi_5_10,mi_5_15,mi_10_15,mi_20_25,mi_20_30,mi_25_30,isotype_confidence,is_IgG,is_IgA,is_IgM,is_IgE,is_IgD,l1_Y_count,vl_hydrophobic_core_count,l3_K_count,l1_L_count,vl_entropy_normalized,vh_aa_diversity,vh_hydrophobic_core_count,vh_charge_separation,vl_turn_formers_count,vl_surface_curvature_std,vl_hydrophobic_density,vl_thermostable_DY_count,vl_surface_curvature_min,vl_surface_curvature_max,vh_helix_breakers_propensity,vl_thermal_motif_ratio,vh_sequence_entropy,vl_max_hydrophobic_patch,vl_hydrophobic_clustering,vh_hydrophobic_risk,vh_motif_risk,vl_surface_curvature_mean,vl_thermostable_YY_count,vl_helix_breakers_count,combined_net_charge,vh_vl_charge_balance,vh_hydrophobic_ratio,vh_entropy_normalized,vh_stabilizing_WGKG_count,vh_thermolabile_GG_count,vl_hydrophobic_surface_area,vl_hydrophobic_ratio,vh_thermostable_WG_count,vl_thermal_stability_range,vl_electrostatic_risk,vl_sheet_breakers_count,vh_high_curvature_regions,vh_entropy_variation,full_charge_clusters_density,vh_turn_formers_propensity,vl_sequence_entropy,vh_sheet_breakers_propensity,vh_cysteine_count,vl_sheet_formers_count,vh_negative_charge_count,vh_thermolabile_NG_count,vl_hydrophobic_risk,vl_patch_risk,vh_thermal_stability_std,vl_thermal_stability_sum,l3_R_count,vh_thermal_stability_range,vl_thermal_stability_std,l3_L_count,full_charge_clusters_count
GDPa1-001,-2.431826987845502,-2.197421786914721,1.1969509022293818,0.9286056801181177,1.363648855897382,-3.8192464824029737,-0.3319968692716716,-0.24321287483808407,-0.6528179664455658,-0.5260790529946141,-0.005447958598397668,0.9135018620509928,-0.933147077852082,-1.1972928954994055,-0.6433128220168882,0.6127203458461494,0.8357075514798608,-0.8564845217314495,1.5747237585922793,0.43968663998795793,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,1.0,-1.0,47.0,0.0,4.444444444444445,2.0,0.0,3.0,5.0,3.0,4.5,79.74789915966386,7.0,12.0,8.0,78.03738317757009,2.0,13.0,8.0,1.5,-9.500000000000002,3.0,32.0,32.0,17.0,17.0,17.0,-8.3,16.0,16.0,16.0,4.5,32.0,65.0,34.0,51.0,36.81730769230769,31.0,7.5,40.0,37.0,37.0,54.0,36.0,44.583333333333336,32.0,36.0,33.0,74.0,65.0,113.3,74.0,65.0,99.6,212.9
GDPa1-002,3.1491027101408116,0.002274326843889459,0.8153180030921714,-1.354104548854139,-0.4506344056879043,-1.4046000624790076,-1.5472298646067653,-0.9828739862319867,-0.31468074729228995,0.6175310243897393,-0.30358210776982186,-0.5578833068541298,-0.6091288362988021,-0.9493147883238509,0.09234276351439508,-0.8313106580740954,1.5430924891143585,0.8745592786201505,0.8296869337266395,-1.8227654010510241,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,3.0,47.0,1.0,5.125,1.5,1.0,4.0,7.0,2.5,0.5,79.15254237288136,7.0,10.0,7.0,77.4766355140187,2.0,10.0,10.0,3.0,-8.0,2.5,28.0,28.0,15.0,15.0,15.0,-9.1,15.0,15.0,15.0,-0.5,31.0,65.0,36.0,54.0,35.14,26.0,2.0,41.0,37.0,37.0,56.0,37.0,39.04285714285714,32.0,32.0,32.0,74.0,65.0,98.9,74.0,65.0,105.7,204.6
GDPa1-003,3.1529879719847513,-0.5125980501572348,0.10868191385384879,0.524848169869414,1.8781125972855404,-2.0778821926237447,-1.771570739531153,-0.41328175966590197,0.3810509150194316,-0.5550574513739315,1.7352900211722753,1.8578276890872807,1.5559704606762699,-0.9259156352449427,-1.0050858215055718,0.1101407835442234,-0.0813236679795855,-0.4791418120955559,0.2340255667456592,0.684643478078952,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,0.0,47.0,1.0,4.0,4.0,0.0,3.0,7.0,0.5,1.5,81.83333333333334,9.0,10.0,9.0,78.97196261682242,4.0,10.0,11.0,2.0,-4.199999999999998,0.5,31.0,31.0,13.0,13.0,13.0,-8.600000000000001,16.0,16.0,16.0,-1.5,32.0,65.0,42.0,52.0,38.06363636363636,26.0,-1.0,40.0,42.0,42.0,58.0,35.0,37.12222222222222,31.0,23.0,28.0,73.0,65.0,107.9,73.0,65.0,135.7,243.6
GDPa1-004,2.1890279984816607,-1.6422596560108211,-1.0780140148660555,-1.5958973182265739,-0.6025118190960723,0.4723281497670481,-1.6256257246725754,-1.661055713223233,-0.9083732176973954,1.8968323523694581,-0.8616863823927116,-0.2957861555274568,1.3886450178461276,1.327326657983392,-0.5149789163231366,0.7901615252849447,-0.3041960700259121,-1.0464611655042124,0.6424056212309626,-0.1868419223798135,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,47.0,1.0,4.333333333333333,1.0,1.0,3.0,9.0,1.0,3.5,80.0,7.0,8.0,8.0,80.28037383177569,1.0,10.0,13.0,4.5,-11.1,1.0,33.0,33.0,16.0,16.0,16.0,-9.400000000000002,16.0,16.0,16.0,-3.5,30.0,65.0,35.0,52.0,35.83076923076923,27.0,-2.5,39.0,37.0,37.0,58.0,38.0,39.767857142857146,36.0,31.0,32.0,74.0,65.0,104.3,74.0,65.0,113.5,217.8
GDPa1-005,1.254494004289889,-3.840987859636427,-1.7788011578554175,-1.112719695351961,-1.203233789564548,3.0528009859003244,2.1479199697371425,-1.1830804816077631,-0.02940099017520139,1.217189747797079,0.13201945785083763,0.11762801514619661,1.9748780583065897,-0.948084350107734,0.47183321480955437,-0.3248833653215269,-0.6422422738365006,-0.015452455293078883,1.007872207052178,1.0910028039763138,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,47.0,0.0,5.428571428571429,1.6666666666666667,1.0,2.0,7.0,5.0,2.0,81.2396694214876,6.0,11.0,6.0,78.97196261682242,3.0,11.0,12.0,7.0,-4.700000000000001,5.0,31.0,31.0,13.0,13.0,13.0,-7.7,15.0,15.0,15.0,-2.0,30.0,65.0,40.0,52.0,33.84090909090909,30.0,3.0,38.0,44.0,44.0,55.0,35.0,41.121212121212125,31.0,32.0,33.0,74.0,65.0,104.3,74.0,65.0,134.3,238.6
GDPa1-006,1.5682258412545613,0.46431376820402304,0.480607222278971,2.4642078344546086,-0.6116843161708365,1.0044005023874978,1.6058360822757378,-0.6684462509599209,-0.9106542452771397,-1.234109784551985,1.0395553703661888,1.8513222062741959,0.41668256197211884,0.26058671371246883,0.49124114336225727,0.7842764997260142,0.16164670710196466,-0.6676834317507816,-0.11213800531496926,0.033822867142040525,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,0.0,47.0,2.0,4.75,1.3333333333333333,1.0,5.0,7.0,2.0,7.5,80.80645161290322,6.0,8.0,7.0,77.66355140186916,2.0,17.0,9.0,5.5,-6.600000000000002,2.0,30.0,30.0,18.0,18.0,18.0,-8.9,15.0,15.0,15.0,7.5,30.0,65.0,41.0,54.0,34.790849673202615,25.0,9.5,38.0,42.0,42.0,54.0,40.0,41.958333333333336,36.0,34.0,32.0,74.0,65.0,103.1,74.0,65.0,128.6,231.7
GDPa1-007,3.031855473087901,-0.8834962964111802,-0.5070152912488883,-0.638034071884192,0.5108450740544938,-0.5134106488188224,2.331249516458511,-0.24442804665021026,-1.1576164200557553,1.2834478703106758,0.6915052724897721,1.7118397410042048,-0.23143825289497338,-0.7269072273006832,0.6703060995272102,0.14021376049500875,0.13097399065410684,0.7959718611935247,0.786453860114563,-0.41978177624490987,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,47.0,0.0,3.9,3.0,0.0,3.0,7.0,4.5,2.5,81.2396694214876,7.0,12.0,9.0,77.85046728971963,3.0,12.0,9.0,2.0,-6.2,4.5,29.0,29.0,17.0,17.0,17.0,-9.8,14.0,14.0,14.0,2.5,30.0,65.0,39.0,57.0,33.00925925925926,27.0,7.0,39.0,40.0,40.0,56.0,37.0,40.29761904761905,32.0,30.0,32.0,76.0,65.0,104.7,76.0,65.0,127.6,232.3
GDPa1-008,-2.4456735211863805,-1.265409116768495,-0.5816421583639193,1.3358127525162506,0.12084438432971005,0.1724222324923682,-1.7258046326609437,0.3209860258773994,0.8583126320193281,-0.6546016640787182,-0.38099106400412214,-1.4025136039663908,1.2724551930155794,0.7364029972345373,1.0864818574245263,-0.1574485353973662,-2.2311122800788814,0.028936745215896734,1.8602056014454562,-0.48654659657035876,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,0.0,2.0,49.0,1.0,6.428571428571429,0.75,3.0,3.0,8.0,0.0,1.5,78.98305084745763,9.0,9.0,6.0,78.84955752212389,0.0,11.0,9.0,1.5,-9.1,0.0,32.0,32.0,17.0,17.0,17.0,-9.0,15.0,15.0,15.0,1.5,35.0,71.0,37.0,56.0,36.06060606060606,27.0,1.5,45.0,40.0,40.0,54.0,38.0,41.629629629629626,34.0,26.0,39.0,74.0,71.0,109.0,74.0,71.0,123.7,232.7
GDPa1-009,0.09211839670214546,2.5644085698624934,2.474088955218452,-1.7008648285693604,-2.7049242539905736,-0.5292213627190671,1.3141518245914168,-1.8918092805063185,1.1218454849634827,0.33634811547101395,-0.9481466789533805,-0.5589811481156329,-0.11880384317939491,-1.0930112658683293,0.12252854519167555,0.11323226928623274,-1.3587843334179497,-0.23178921037726885,-1.448896640650068,1.1542893562700611,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,1.0,1.0,47.0,3.0,5.5,0.6666666666666666,1.0,2.0,8.0,1.0,2.5,77.56302521008404,9.0,11.0,7.0,77.54716981132076,0.0,12.0,9.0,1.5,-11.900000000000002,1.0,28.0,28.0,18.0,18.0,18.0,-11.6,14.0,14.0,14.0,2.5,28.0,64.0,35.0,56.0,39.25925925925926,27.0,3.5,44.0,34.0,34.0,57.0,40.0,39.75757575757576,36.0,29.0,39.0,74.0,64.0,85.8,74.0,64.0,105.9,191.7
GDPa1-010,1.7493890266581282,-1.4441590746207285,0.1329504920779102,-0.14204992840269676,-0.2682853925657988,0.47259601322615713,1.0965295433482558,0.5890430390472169,0.812952539288615,-2.060438802764246,1.344094016800482,0.642447455845246,1.578944072489478,-0.5095743427736359,-1.5401729364736492,-0.03721831147846147,0.8829230574128114,3.1876571755614886,0.1129547695734403,0.8879093211805759,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,0.0,47.0,0.0,4.555555555555555,2.0,1.0,3.0,6.0,2.5,1.5,79.56521739130434,8.0,11.0,8.0,77.85046728971963,3.0,10.0,8.0,1.0,-6.699999999999998,2.5,30.0,30.0,16.0,16.0,16.0,-8.4,14.0,14.0,14.0,1.5,31.0,65.0,42.0,54.0,33.825,27.0,4.0,41.0,36.0,36.0,52.0,36.0,37.81818181818182,30.0,22.0,33.0,73.0,65.0,105.7,73.0,65.0,118.6,224.3
