antibody_id,Titer_g/L,AC-SINS_pH7.4_nmol/mg,HIC_delta_G_ML,PR_CHO,Tm2_DSF_degC,antibody_name
GDPa1-001,140.25,2.125,2.59,0.337837415,83.08,abagovomab
GDPa1-002,193.31,1.5,2.545,0.205246232,80.33,abituzumab
GDPa1-003,114.75,1.0,2.705,0.138772594,85.03,abrezekimab
GDPa1-004,327.32,-0.375,2.565,0.0,75.93,abrilumab
GDPa1-005,313.39,7.5,2.495,0.183386944,84.84,adalimumab
GDPa1-006,367.3,27.0,2.46,0.3387489,85.88,aducanumab
GDPa1-007,190.23,-1.375,2.45,0.162422898,80.75,alemtuzumab
GDPa1-008,89.39,3.125,2.535,,77.64,alirocumab
GDPa1-009,224.95,18.125,2.67,0.387663837,,amatuximab
GDPa1-010,291.17,-0.5,3.155,0.179621132,81.515,andecaliximab
GDPa1-011,261.98,19.0,2.81,0.166793484,82.96,anetumab
GDPa1-012,92.11,-0.875,2.4800000000000004,,83.41499999999999,anifrolumab
GDPa1-013,301.96,1.0,2.7350000000000003,0.0,,anrukinzumab
GDPa1-014,319.37,8.5,3.755,0.0,85.575,atezolizumab
GDPa1-015,359.69,2.625,3.115,0.060415292,83.34,avelumab
GDPa1-016,168.63,-0.875,2.46,,85.13,bapineuzumab
GDPa1-017,126.74,22.125,2.635,,81.96,basiliximab
GDPa1-018,108.15,27.0,3.085,,82.83,bavituximab
GDPa1-019,345.31,5.625,2.79,0.359070212,84.515,belantamab
GDPa1-020,301.96,0.625,2.91,0.21442229,79.255,belimumab
GDPa1-021,257.51,-1.375,2.7350000000000003,0.0,86.50999999999999,bemarituzumab
GDPa1-022,291.17,14.625,2.72,0.338173403,82.03,benralizumab
GDPa1-023,89.39,1.125,3.1950000000000003,,85.245,bevacizumab
GDPa1-024,151.33,17.125,2.4450000000000003,0.355925294,84.93,bezlotoxumab
GDPa1-025,393.89,26.0,2.83,0.446444933,,bimagrumab
GDPa1-026,116.1,2.625,2.83,,,bimekizumab
GDPa1-027,212.57,20.125,2.6,0.391114106,81.66499999999999,bleselumab
