antibody_id,cdr_pca_0,cdr_pca_1,cdr_pca_2,cdr_pca_3,cdr_pca_4,cdr_pca_5,cdr_pca_6,cdr_pca_7,cdr_pca_8,cdr_pca_9,cdr_pca_10,cdr_pca_11,cdr_pca_12,cdr_pca_13,cdr_pca_14,cdr_pca_15,cdr_pca_16,cdr_pca_17,cdr_pca_18,cdr_pca_19,mi_5_10,mi_5_15,mi_10_15,mi_20_25,mi_20_30,mi_25_30,isotype_confidence,isotype_score_IgG,isotype_score_IgA,isotype_score_IgM,isotype_score_IgE,isotype_score_IgD,predicted_isotype_IgE,combined_hydrophobic_area,vh_hydrophobic_surface_area,vl_min_cys_spacing,vh_min_cys_spacing,vl_hydrophobic_surface_area,vl_avg_cys_spacing,vh_avg_cys_spacing,vh_turn_formers_count,vh_helix_formers_count,vl_turn_formers_count,vl_charge_separation,vl_flexible_residues_count,vh_surface_polar_count,vh_hydrophobic_core_count,vh_core_size,vh_flexible_residues_count,combined_net_charge,vl_helix_formers_count,vh_charge_separation,vl_surface_polar_count,vh_sheet_formers_count,vl_max_cys_spacing,vl_sheet_formers_count,vh_net_charge,vl_high_curvature_regions,vl_helix_breakers_count,vl_sheet_breakers_count,vl_thermal_stability_sum,vh_high_curvature_regions,vh_helix_breakers_count,vh_sheet_breakers_count,vl_hydrophobic_core_count,vl_core_size,vl_net_charge,vh_thermal_stability_sum,vh_vl_charge_balance,vh_negative_charge_count,vh_positive_charge_count,vh_thermal_motif_balance,vl_estimated_tm_contribution,vh_rigid_residues_count,vl_positive_charge_count,vl_negative_charge_count,vh_estimated_tm_contribution,vh_absolute_charge,vl_absolute_charge,vl_rigid_residues_count,full_aromatic_stacking_count,vh_thermolabile_GG_count,vh_thermal_motif_ratio,vh_flexibility_ratio,l1_S_count,vl_thermal_motif_balance,l2_K_count,HIC_delta_G_ML,PR_CHO,AC-SINS_pH7.4_nmol/mg,Tm2_DSF_degC,Titer_g/L
GDPa1-001,-1.0451819377256353,-0.046999344168003006,-0.040007585528223186,-0.040358517412410644,-0.40800068486400887,-0.3807294801317179,-0.07779972981862546,0.0730005838887977,0.006914951126200689,-0.10165943593532842,-0.05149896972973898,-0.06949262640624303,-0.027163666653922846,0.06422688453511755,-0.2081059333779139,0.08352139837199671,-0.14470959007956938,0.07315235490060143,0.0887396486743797,-0.046665021416331914,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,212.9,99.6,65.0,74.0,113.3,65.0,74.0,33.0,36.0,32.0,44.583333333333336,36.0,54.0,37.0,37.0,40.0,7.5,31.0,36.81730769230769,51.0,34.0,65.0,32.0,4.5,16.0,16.0,16.0,-8.3,17.0,17.0,17.0,32.0,32.0,3.0,-9.500000000000002,1.5,8.0,13.0,2.0,78.03738317757009,8.0,12.0,7.0,79.74789915966386,4.5,3.0,5.0,3.0,0.0,2.0,4.444444444444445,0.0,-1.0,1.0,2.59,0.337837415,2.125,83.08,140.25
GDPa1-002,-1.1036328112830696,0.10087418048628045,-0.258616232587943,-0.04502754758628027,0.05197034826543965,-0.0896428691000795,-0.014167692016158386,0.0723647781870239,-0.10751547870696865,0.05290754049856861,0.02976805724280782,-0.07083898307692031,-0.05908488749379222,0.05871893398297448,-0.029583970280554567,-0.00997000128430277,0.08455960006438279,0.06892118525630882,-0.022022628575473633,0.06079322944945301,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.6,105.7,65.0,74.0,98.9,65.0,74.0,32.0,32.0,32.0,39.04285714285714,37.0,56.0,37.0,37.0,41.0,2.0,26.0,35.14,54.0,36.0,65.0,31.0,-0.5,15.0,15.0,15.0,-9.1,15.0,15.0,15.0,28.0,28.0,2.5,-8.0,3.0,10.0,10.0,2.0,77.4766355140187,7.0,10.0,7.0,79.15254237288136,0.5,2.5,7.0,4.0,1.0,1.5,5.125,1.0,3.0,2.0,2.545,0.205246232,1.5,80.33,193.31
GDPa1-003,-1.108834580524268,0.15056026403769893,-0.5470786575278698,0.02802895854048565,-0.14402702341320353,-0.2939654741421305,0.08284246647416092,0.07349567842955179,0.09795734148562556,-0.12229175176136534,-0.023644027301191774,-0.13954780779639767,0.04555985712752655,-0.0667551363665559,0.049737710647399215,-0.08692175535583521,0.05765400928123158,0.010759309794629678,0.026610967559026227,-0.0758006631853662,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243.6,135.7,65.0,73.0,107.9,65.0,73.0,28.0,23.0,31.0,37.12222222222222,35.0,58.0,42.0,42.0,40.0,-1.0,26.0,38.06363636363636,52.0,42.0,65.0,32.0,-1.5,16.0,16.0,16.0,-8.600000000000001,13.0,13.0,13.0,31.0,31.0,0.5,-4.199999999999998,2.0,11.0,10.0,4.0,78.97196261682242,9.0,10.0,9.0,81.83333333333334,1.5,0.5,7.0,3.0,0.0,4.0,4.0,1.0,0.0,2.0,2.705,0.138772594,1.0,85.03,114.75
GDPa1-004,-1.0909167893949347,0.04679537538399954,-0.052793022598922844,-0.028043046161617808,0.040791275215252304,0.17157021053210514,-0.02028686425897736,-0.05498495624568885,-0.2002374063007931,-0.051055458267414235,-0.006426584553035752,-0.04190742520430347,-0.08313329691224573,0.10642177324912537,0.047921942110534466,-0.08402033691844704,0.0370002610086186,-0.0421955392337496,0.15127076399601738,-0.14821602791363764,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,217.8,113.5,65.0,74.0,104.3,65.0,74.0,32.0,31.0,36.0,39.767857142857146,38.0,58.0,37.0,37.0,39.0,-2.5,27.0,35.83076923076923,52.0,35.0,65.0,30.0,-3.5,16.0,16.0,16.0,-9.400000000000002,16.0,16.0,16.0,33.0,33.0,1.0,-11.1,4.5,13.0,10.0,1.0,80.28037383177569,8.0,8.0,7.0,80.0,3.5,1.0,9.0,3.0,1.0,1.0,4.333333333333333,1.0,1.0,2.0,2.565,0.0,-0.375,75.93,327.32
GDPa1-005,-1.0801904449174253,-0.008770783859000094,0.015570497742373018,0.000501992912124527,-0.2678085672944159,0.4870399573711536,0.03710235503929133,-0.19506740066957978,-0.04771818950039557,-0.18643487597608732,0.11380413055794843,-0.05259838018788447,-0.021566399579491805,0.017738038798132887,0.07310210507272842,0.10259562893114638,0.031229490641709805,-0.1041020986283077,0.011925228601381928,-0.06846688800650423,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238.6,134.3,65.0,74.0,104.3,65.0,74.0,33.0,32.0,31.0,41.121212121212125,35.0,55.0,44.0,44.0,38.0,3.0,30.0,33.84090909090909,52.0,40.0,65.0,30.0,-2.0,15.0,15.0,15.0,-7.7,13.0,13.0,13.0,31.0,31.0,5.0,-4.700000000000001,7.0,12.0,11.0,3.0,78.97196261682242,6.0,11.0,6.0,81.2396694214876,2.0,5.0,7.0,2.0,1.0,1.6666666666666667,5.428571428571429,0.0,1.0,2.0,2.495,0.183386944,7.5,84.84,313.39
GDPa1-006,-1.093737716295126,0.02186534276677931,0.052701993030372644,-0.1331674241299043,0.24704032070199267,0.135371603863568,0.0056356731841688415,-0.04219995946363591,0.19733327150379634,-0.1408471768772542,-0.12875492486744167,0.01001402623563994,0.0493414898341418,-0.041887930573618774,-0.026146226782091473,0.014287323470972791,-0.04421777250036136,0.0013466602990012547,-0.011328433018743997,-0.02006365066937054,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,231.7,128.6,65.0,74.0,103.1,65.0,74.0,32.0,34.0,36.0,41.958333333333336,40.0,54.0,42.0,42.0,38.0,9.5,25.0,34.790849673202615,54.0,41.0,65.0,30.0,7.5,15.0,15.0,15.0,-8.9,18.0,18.0,18.0,30.0,30.0,2.0,-6.600000000000002,5.5,9.0,17.0,2.0,77.66355140186916,7.0,8.0,6.0,80.80645161290322,7.5,2.0,7.0,5.0,1.0,1.3333333333333333,4.75,2.0,0.0,2.0,2.46,0.3387489,27.0,85.88,367.3
GDPa1-007,-1.1024833095810331,0.10137601469836414,-0.26238661643832234,-0.06428358487048315,0.03760106644971624,-0.04095969866173232,0.00039273025127322775,-0.13573724336785747,-0.04362168970781821,-0.13458912796822156,-0.000727489528702687,-0.06361251316039715,0.10061828954953003,-0.009755100576495139,-0.025170818035095584,0.08251832536173992,0.0042227918295546585,-0.009994049450183947,-0.031929614283710515,-0.007788336586377048,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.3,127.6,65.0,76.0,104.7,65.0,76.0,32.0,30.0,32.0,40.29761904761905,37.0,56.0,40.0,40.0,39.0,7.0,27.0,33.00925925925926,57.0,39.0,65.0,30.0,2.5,14.0,14.0,14.0,-9.8,17.0,17.0,17.0,29.0,29.0,4.5,-6.2,2.0,9.0,12.0,3.0,77.85046728971963,9.0,12.0,7.0,81.2396694214876,2.5,4.5,7.0,3.0,0.0,3.0,3.9,0.0,1.0,2.0,2.45,0.162422898,-1.375,80.75,190.23
GDPa1-008,1.7747662828544815,-0.032176448263493564,0.12944253534942662,-0.013241194323905664,-0.22496146919828564,0.07178969064675882,0.20417185131322588,0.08388039503616453,0.0004443542907918781,0.053119309839819426,-0.01991471127088858,0.15643499418305176,-0.16329692809080126,-0.05128802459345286,0.20285729811765574,0.0844557021780136,-0.08610534503333207,0.00461006405325542,0.13368282637722642,0.014149186470533882,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.7,123.7,71.0,74.0,109.0,71.0,74.0,39.0,26.0,34.0,41.629629629629626,38.0,54.0,40.0,40.0,45.0,1.5,27.0,36.06060606060606,56.0,37.0,71.0,35.0,1.5,15.0,15.0,15.0,-9.0,17.0,17.0,17.0,32.0,32.0,0.0,-9.1,1.5,9.0,11.0,0.0,78.84955752212389,6.0,9.0,9.0,78.98305084745763,1.5,0.0,8.0,3.0,3.0,0.75,6.428571428571429,1.0,2.0,0.0,2.535,,3.125,77.64,89.39
GDPa1-009,-1.0712601113616431,-0.04249504425888987,0.23886416315813763,-0.15313374491353796,0.12023731475181522,-0.07797075030803784,-0.3692426732341237,-0.008139660651882766,-0.013585465457349065,0.04076170803756091,0.03246332086170021,-0.024559931444552877,-0.0500580929685672,-0.07705733450815015,0.0504611674840266,0.014413513019558661,-0.0240494311379604,-0.08920364577782398,-0.02030196807388828,0.08871573778248666,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191.7,105.9,64.0,74.0,85.8,64.0,74.0,39.0,29.0,36.0,39.75757575757576,40.0,57.0,34.0,34.0,44.0,3.5,27.0,39.25925925925926,56.0,35.0,64.0,28.0,2.5,14.0,14.0,14.0,-11.6,18.0,18.0,18.0,28.0,28.0,1.0,-11.900000000000002,1.5,9.0,12.0,0.0,77.54716981132076,7.0,11.0,9.0,77.56302521008404,2.5,1.0,8.0,2.0,1.0,0.6666666666666666,5.5,3.0,1.0,1.0,2.67,0.387663837,18.125,,224.95
GDPa1-010,-1.091480774989617,0.04903747441373162,-0.18148549337821346,0.02055253207817926,-0.253323808967459,0.19165974102441186,0.053652527574748705,-0.01382127233253507,0.15653894781160213,-0.053020464623685454,0.041717442599400835,-0.08651814334929221,0.06612850846458378,-0.13960362155637182,0.07753042048700005,-0.06991977507734308,-0.018732227737226194,0.1559050897846954,-0.08928202960472827,-0.09993722703510172,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224.3,118.6,65.0,73.0,105.7,65.0,73.0,33.0,22.0,30.0,37.81818181818182,36.0,52.0,36.0,36.0,41.0,4.0,27.0,33.825,54.0,42.0,65.0,31.0,1.5,14.0,14.0,14.0,-8.4,16.0,16.0,16.0,30.0,30.0,2.5,-6.699999999999998,1.0,8.0,10.0,3.0,77.85046728971963,8.0,11.0,8.0,79.56521739130434,1.5,2.5,6.0,3.0,1.0,2.0,4.555555555555555,0.0,0.0,2.0,3.155,0.179621132,-0.5,81.515,291.17
