feature,mutual_information
l_cdr1_hydrophobicity,0.4346687955349169
l_cdr3_charge,0.3918600867651165
l_cdr2,0.3074009935701123
l_cdr2_length,0.3048977466067866
h_cdr3_charge,0.28034982869610836
h_cdr2_length,0.2758891569941546
l_cdr1,0.1543735461007869
l_cdr2_hydrophobicity,0.1519383949594808
l_cdr3_hydrophobicity,0.15143217494140604
h_cdr2,0.15059467030801832
l_cdr2_charge,0.13063349985873263
h_cdr1_length,0.12528690379651986
l_cdr3,0.11595471011793124
l_cdr1_charge,0.11576357955240746
l_cdr3_length,0.08875933142782366
h_cdr3,0.0876970679617719
h_cdr3_length,0.08264599431041408
h_cdr1_charge,0.07962796382255322
h_cdr1_hydrophobicity,0.06595903660008595
h_cdr2_hydrophobicity,0.044582365154769654
l_cdr1_length,0.040381531799432935
h_cdr2_charge,0.03290220654762788
h_cdr3_hydrophobicity,0.010491795776549573
h_cdr1,0.008906351276153135
