antibody_id,vh_hydrophobic_surface_area,vh_hydrophobic_ratio,vh_hydrophobic_density,vh_max_hydrophobic_patch,vh_hydrophobic_clustering,vl_hydrophobic_surface_area,vl_hydrophobic_ratio,vl_hydrophobic_density,vl_max_hydrophobic_patch,vl_hydrophobic_clustering,vh_surface_curvature_mean,vh_surface_curvature_std,vh_surface_curvature_max,vh_surface_curvature_min,vh_high_curvature_regions,vl_surface_curvature_mean,vl_surface_curvature_std,vl_surface_curvature_max,vl_surface_curvature_min,vl_high_curvature_regions,vh_net_charge,vh_absolute_charge,vh_positive_charge_count,vh_negative_charge_count,vh_charge_ratio,vh_charge_density,vh_positive_charge_clustering,vh_negative_charge_clustering,vh_charge_separation,vl_net_charge,vl_absolute_charge,vl_positive_charge_count,vl_negative_charge_count,vl_charge_ratio,vl_charge_density,vl_positive_charge_clustering,vl_negative_charge_clustering,vl_charge_separation,full_hydrophobic_patches_count,full_hydrophobic_patches_density,full_beta_strand_prone_count,full_beta_strand_prone_density,full_aromatic_stacking_count,full_aromatic_stacking_density,full_charge_clusters_count,full_charge_clusters_density,vh_aggregation_risk_score,vh_hydrophobic_risk,vh_surface_risk,vh_electrostatic_risk,vh_motif_risk,vh_patch_risk,vl_aggregation_risk_score,vl_hydrophobic_risk,vl_surface_risk,vl_electrostatic_risk,vl_motif_risk,vl_patch_risk,combined_hydrophobic_area,combined_net_charge,combined_risk_score,vh_vl_charge_balance,vh_vl_hydrophobic_balance,extraction_success
GDPa1-001,99.6,0.2857142857142857,0.8369747899159663,2,0.222972972972973,113.3,0.308411214953271,1.0588785046728972,3,0.23529411764705882,0.6802521008403362,0.6527645954840345,2.5,0.0,17,0.655140186915888,0.6338185189208878,2.6,0.0,16,4.5,4.5,13,8,1.4444444444444444,0.037815126050420166,1.0265995686556433,1.0309405940594059,36.81730769230769,3.0,3.0,12,7,1.5,0.028037383177570093,1.1961382113821137,0.8337662337662338,44.583333333333336,0,0.0,0,0.0,3,0.013333333333333334,0,0.0,1.6394972899833318,0.0668918918918919,0.17006302521008404,0.9,0.30254237288135594,0.2,1.2857883763627125,0.07058823529411765,0.163785046728972,0.6000000000000001,0.15141509433962266,0.30000000000000004,212.89999999999998,7.5,2.9252856663460443,1.5,0.02269692923898531,True
GDPa1-002,105.7,0.2966101694915254,0.8957627118644068,2,0.22972972972972971,98.9,0.27102803738317754,0.9242990654205608,3,0.21212121212121213,0.6088983050847459,0.6260797911707272,2.5,0.0,15,0.62196261682243,0.6587363139472262,2.4,0.0,15,-0.5,0.5,10,10,0.9090909090909091,0.00423728813559322,1.0836734693877552,1.0114285714285716,35.14,2.5,2.5,10,7,1.25,0.02336448598130841,0.9826530612244897,0.8337662337662338,39.042857142857144,0,0.0,0,0.0,4,0.017857142857142856,0,0.0,0.8237075977542079,0.06891891891891891,0.15222457627118646,0.1,0.30256410256410254,0.2,1.3219572065212164,0.06363636363636363,0.1554906542056075,0.5,0.3028301886792453,0.30000000000000004,204.60000000000002,2.0,2.145664804275424,3.0,0.025582132108347866,True
GDPa1-003,135.7,0.3333333333333333,1.1308333333333331,4,0.25161290322580643,107.89999999999999,0.29906542056074764,1.008411214953271,3,0.2296296296296296,0.5862499999999999,0.6146802183520577,2.5,0.0,13,0.6602803738317757,0.6467293095996093,2.5,0.0,16,-1.5,1.5,10,11,0.8333333333333334,0.0125,1.0693069306930694,0.974025974025974,38.06363636363636,0.5,0.5,10,9,1.0,0.004672897196261682,0.9826530612244897,0.8492063492063492,37.12222222222222,0,0.0,0,0.0,3,0.01327433628318584,0,0.0,1.2245673793711034,0.07548387096774192,0.14656249999999998,0.30000000000000004,0.3025210084033613,0.4,0.7853740766864555,0.06888888888888887,0.16507009345794393,0.1,0.15141509433962266,0.30000000000000004,243.59999999999997,-1.0,2.009941456057559,2.0,0.034267912772585674,True
GDPa1-004,113.5,0.2966101694915254,0.961864406779661,2,0.22972972972972971,104.3,0.29906542056074764,0.9747663551401868,3,0.2296296296296296,0.6453389830508475,0.6419642555699455,2.5,0.0,16,0.677570093457944,0.6710722917747698,2.7,0.0,16,-3.5,3.5,10,13,0.7142857142857143,0.029661016949152543,1.2642857142857142,1.0085470085470085,35.83076923076923,1.0,1.0,8,7,1.0,0.009345794392523364,0.9752604166666667,0.8337662337662338,39.767857142857146,0,0.0,0,0.0,3,0.013392857142857142,0,0.0,1.4328177672457334,0.06891891891891891,0.16133474576271187,0.7000000000000001,0.30256410256410254,0.2,0.8896965065929976,0.06888888888888887,0.169392523364486,0.2,0.15141509433962266,0.30000000000000004,217.8,-2.5,2.322514273838731,4.5,0.0024552510692222307,True
GDPa1-005,134.3,0.34710743801652894,1.1099173553719008,3,0.25949367088607594,104.3,0.29906542056074764,0.9747663551401868,3,0.2296296296296296,0.631404958677686,0.5737052339944282,2.5,0.0,13,0.6242990654205609,0.6600539657199841,2.4,0.0,15,-2.0,2.0,11,12,0.8461538461538461,0.01652892561983471,1.1956521739130437,0.9320728291316527,33.84090909090909,5.0,5.0,11,6,1.5714285714285714,0.04672897196261682,0.9825528007346188,0.8180428134556574,41.121212121212125,0,0.0,0,0.0,2,0.00881057268722467,0,0.0,1.0869493409352442,0.07784810126582278,0.1578512396694215,0.4,0.15125,0.30000000000000004,1.6763787495836517,0.06888888888888887,0.15607476635514023,1.0,0.15141509433962266,0.30000000000000004,238.60000000000002,3.0,2.763328090518896,7.0,0.048042017455781294,True
GDPa1-006,128.6,0.3225806451612903,1.0370967741935484,4,0.24528301886792456,103.1,0.2897196261682243,0.9635514018691588,3,0.22388059701492538,0.6786290322580646,0.6685677212271061,2.5,0.0,18,0.602803738317757,0.6303029895832747,2.3,0.0,15,7.5,7.5,17,9,1.7,0.06048387096774194,1.0060851926977687,0.9668615984405459,34.790849673202615,2.0,2.0,8,6,1.1428571428571428,0.018691588785046728,0.9752604166666667,0.8180428134556574,41.958333333333336,0,0.0,0,0.0,5,0.021739130434782608,0,0.0,2.7481202125053814,0.07358490566037737,0.16965725806451615,1.5,0.6048780487804878,0.4,1.0692802080235395,0.06716417910447761,0.15070093457943926,0.4,0.15141509433962266,0.30000000000000004,231.7,9.5,3.817400420528921,5.5,0.03286101899306604,True
GDPa1-007,127.6,0.32231404958677684,1.0545454545454545,3,0.2451612903225806,104.7,0.2803738317757009,0.9785046728971963,3,0.21804511278195488,0.6648760330578511,0.689371633514904,2.6,0.0,17,0.6098130841121496,0.6304737594255079,2.4,0.0,14,2.5,2.5,12,9,1.2,0.02066115702479339,1.0981848184818483,0.968968968968969,33.00925925925926,4.5,4.5,12,7,1.5,0.04205607476635514,0.9808333333333332,0.8337662337662338,40.29761904761905,0,0.0,0,0.0,3,0.013215859030837005,0,0.0,1.342267395361237,0.07354838709677418,0.1662190082644628,0.5,0.3025,0.30000000000000004,1.5692818992022466,0.06541353383458647,0.1524532710280374,0.9,0.15141509433962266,0.30000000000000004,232.3,7.0,2.9115492945634838,2.0,0.04194021781107593,True
GDPa1-008,123.7,0.3220338983050847,1.0483050847457627,3,0.2450331125827815,109.0,0.2831858407079646,0.9646017699115044,3,0.21985815602836878,0.660593220338983,0.6337891062021158,2.5,0.0,17,0.6132743362831858,0.646912944968581,2.7,0.0,15,1.5,1.5,11,9,1.1,0.012711864406779662,1.0621062106210621,0.928220255653884,36.06060606060606,0.0,0.0,9,9,0.9,0.0,0.9751887810140237,0.8512241054613936,41.629629629629626,0,0.0,0,0.0,3,0.013043478260869565,0,0.0,0.9899402901416315,0.07350993377483445,0.16514830508474576,0.30000000000000004,0.15128205128205127,0.30000000000000004,0.8219546023078785,0.06595744680851064,0.15331858407079646,0.0,0.3026785714285714,0.30000000000000004,232.7,1.5,1.81189489244951,1.5,0.03884805759712012,True
GDPa1-009,105.9,0.2773109243697479,0.8899159663865547,3,0.21768707482993196,85.8,0.25471698113207547,0.8094339622641509,3,0.20155038759689922,0.6668067226890756,0.662065691189782,2.5,0.0,18,0.6169811320754718,0.6387224421723159,2.4,0.0,14,2.5,2.5,12,9,1.2,0.02100840336134454,1.0694444444444442,1.0074074074074073,39.25925925925926,1.0,1.0,11,9,1.1,0.009433962264150943,0.9833024118738404,0.8488488488488489,39.75757575757576,0,0.0,0,0.0,2,0.008928571428571428,0,0.0,1.1832789895619265,0.06530612244897958,0.1667016806722689,0.5,0.15127118644067797,0.30000000000000004,0.8661389707265092,0.06046511627906977,0.15424528301886795,0.2,0.1514285714285714,0.30000000000000004,191.7,3.5,2.0494179602884355,1.5,0.022593943237672443,True
GDPa1-010,118.6,0.2956521739130435,1.0313043478260868,3,0.22916666666666669,105.7,0.2897196261682243,0.9878504672897197,3,0.22388059701492538,0.6439130434782608,0.6697873713898657,2.6,0.0,16,0.5789719626168225,0.6181460592900146,2.3,0.0,14,1.5,1.5,10,8,1.1111111111111112,0.013043478260869565,1.1129032258064515,0.9675480769230769,33.825,2.5,2.5,11,8,1.2222222222222223,0.02336448598130841,0.9825528007346188,0.8434684684684685,37.81818181818182,1,0.004545454545454545,0,0.0,3,0.013574660633484163,0,0.0,1.2836872734452522,0.06875,0.1609782608695652,0.30000000000000004,0.45395901257568705,0.30000000000000004,1.1633222640983059,0.06716417910447761,0.14474299065420562,0.5,0.15141509433962266,0.30000000000000004,224.3,4.0,2.447009537543558,1.0,0.0059325477448192165,True
