antibody_id,vh_hydrophobic_surface_area,vh_hydrophobic_ratio,vh_hydrophobic_density,vh_max_hydrophobic_patch,vh_hydrophobic_clustering,vl_hydrophobic_surface_area,vl_hydrophobic_ratio,vl_hydrophobic_density,vl_max_hydrophobic_patch,vl_hydrophobic_clustering,vh_surface_curvature_mean,vh_surface_curvature_std,vh_surface_curvature_max,vh_surface_curvature_min,vh_high_curvature_regions,vl_surface_curvature_mean,vl_surface_curvature_std,vl_surface_curvature_max,vl_surface_curvature_min,vl_high_curvature_regions,vh_net_charge,vh_absolute_charge,vh_positive_charge_count,vh_negative_charge_count,vh_charge_ratio,vh_charge_density,vh_positive_charge_clustering,vh_negative_charge_clustering,vh_charge_separation,vl_net_charge,vl_absolute_charge,vl_positive_charge_count,vl_negative_charge_count,vl_charge_ratio,vl_charge_density,vl_positive_charge_clustering,vl_negative_charge_clustering,vl_charge_separation,full_hydrophobic_patches_count,full_hydrophobic_patches_density,full_beta_strand_prone_count,full_beta_strand_prone_density,full_aromatic_stacking_count,full_aromatic_stacking_density,full_charge_clusters_count,full_charge_clusters_density,vh_aggregation_risk_score,vh_hydrophobic_risk,vh_surface_risk,vh_electrostatic_risk,vh_motif_risk,vh_patch_risk,vl_aggregation_risk_score,vl_hydrophobic_risk,vl_surface_risk,vl_electrostatic_risk,vl_motif_risk,vl_patch_risk,combined_hydrophobic_area,combined_net_charge,combined_risk_score,vh_vl_charge_balance,vh_vl_hydrophobic_balance,extraction_success
P907-A14-arid-pond-618a6,134.9,0.35772357723577236,1.0967479674796747,4,0.2654320987654321,114.1,0.308411214953271,1.0663551401869158,3,0.23529411764705882,0.7414634146341463,0.6216522476064845,2.5,0.0,18,0.699532710280374,0.6824398000598576,2.7,0.0,18,4.0,4.0,16,11,1.3333333333333333,0.032520325203252036,0.9690126050420168,0.9723320158102766,35.72159090909091,2.5,2.5,11,8,1.2222222222222223,0.02336448598130841,0.9825528007346188,0.8434684684684685,38.28409090909091,0,0.0,0,0.0,2,0.008733624454148471,0,0.0,1.6162249914848874,0.07962962962962963,0.18536585365853658,0.8,0.1512295081967213,0.4,1.1968865072038337,0.07058823529411765,0.1748831775700935,0.5,0.15141509433962266,0.30000000000000004,249.0,6.5,2.813111498688721,1.5,0.049312362282501354,True
P907-A14-asphalt-resin-c0dd5,141.4,0.34108527131782945,1.096124031007752,3,0.255952380952381,112.8,0.32407407407407407,1.0444444444444445,6,0.2463768115942029,0.589922480620155,0.5821431882837456,2.5,0.0,14,0.6990740740740742,0.6906110244599518,2.6,0.0,18,1.0,1.0,12,11,1.0,0.007751937984496124,0.9936974789915967,0.9307359307359307,38.583333333333336,0.0,0.0,9,9,0.9,0.0,1.032258064516129,1.0,37.30864197530864,0,0.0,0,0.0,5,0.0211864406779661,0,0.0,1.177781959440753,0.07678571428571429,0.14748062015503874,0.2,0.453515625,0.30000000000000004,1.1514853003145364,0.07391304347826087,0.17476851851851855,0.0,0.302803738317757,0.6000000000000001,254.2,1.0,2.3292672597552895,1.0,0.017011197243755383,True
P907-A14-associative-shrike-139f0,134.7,0.3559322033898305,1.1415254237288135,4,0.2645161290322581,109.6,0.308411214953271,1.0242990654205606,3,0.23529411764705882,0.6411016949152543,0.6183846971957997,2.5,0.0,15,0.6411214953271028,0.645031806942772,2.4,0.0,15,1.5,1.5,10,8,1.1111111111111112,0.012711864406779662,1.167032967032967,1.541044776119403,31.85,3.0,3.0,9,6,1.2857142857142858,0.028037383177570093,0.9805269186712486,0.8180428134556574,41.7037037037037,0,0.0,0,0.0,3,0.013392857142857142,0,0.0,1.2421943650025935,0.07935483870967742,0.16027542372881357,0.30000000000000004,0.30256410256410254,0.4,1.2822837034655161,0.07058823529411765,0.1602803738317757,0.6000000000000001,0.15141509433962266,0.30000000000000004,244.29999999999998,4.5,2.5244780684681096,1.5,0.0475209884365595,True
P907-A14-average-limiter-a125e,117.9,0.30973451327433627,1.0433628318584072,2,0.23776223776223776,108.0,0.2962962962962963,1.0,3,0.22794117647058826,0.7256637168141593,0.6913855219853566,2.6,0.0,20,0.7129629629629631,0.6957666425249777,2.6,0.0,18,1.0,1.0,9,8,1.0,0.008849557522123894,1.2249322493224932,1.0865384615384615,33.736111111111114,2.0,2.0,11,9,1.1,0.018518518518518517,0.9818181818181818,0.8495575221238938,35.98989898989899,1,0.0045662100456621,0,0.0,3,0.013636363636363636,0,0.0,0.9554231719607826,0.07132867132867132,0.18141592920353983,0.2,0.3026785714285714,0.2,1.2494400571804185,0.06838235294117648,0.17824074074074078,0.4,0.3028169634985012,0.30000000000000004,225.9,3.0,2.204863229141201,1.0,0.013438216978039985,True
P907-A14-broad-vertex-224ba,131.9,0.3389830508474576,1.1177966101694916,3,0.25490196078431376,106.1,0.3177570093457944,0.9915887850467289,3,0.2391304347826087,0.6923728813559322,0.6950681931745144,2.9000000000000004,0.0,18,0.680841121495327,0.6685402168056852,2.5,0.0,16,1.0,1.0,10,8,1.1111111111111112,0.00847457627118644,1.0211538461538463,0.9649532710280373,35.45,3.5,3.5,10,6,1.4285714285714286,0.03271028037383177,1.0136842105263157,0.8106060606060606,40.4,0,0.0,1,0.004484304932735426,4,0.017857142857142856,0,0.0,1.354703065868707,0.07647058823529412,0.17309322033898306,0.2,0.6051392572944297,0.30000000000000004,1.393364505148237,0.07173913043478261,0.17021028037383176,0.7000000000000001,0.15141509433962266,0.30000000000000004,238.0,4.5,2.7480675710169438,2.5,0.02122604150166324,True
P907-A14-celeste-render-c7237,138.9,0.33076923076923076,1.0684615384615386,3,0.25,102.8,0.28440366972477066,0.9431192660550458,4,0.2222222222222222,0.6623076923076924,0.6117145368194327,2.5,0.0,18,0.6637614678899083,0.6773488375199211,2.4,0.0,18,-4.0,4.0,10,14,0.6666666666666666,0.03076923076923077,1.1818181818181819,0.9285714285714286,39.58571428571429,-0.5,0.5,9,9,0.9,0.0045871559633027525,1.0307328605200945,1.0092592592592593,37.123456790123456,0,0.0,0,0.0,5,0.02100840336134454,0,0.0,1.7940652951699463,0.075,0.1655769230769231,0.8,0.45348837209302323,0.30000000000000004,1.0353848114169217,0.06666666666666667,0.16594036697247708,0.1,0.30277777777777776,0.4,241.7,-4.5,2.829450106586868,3.5,0.0463655610444601,True
P907-A14-citric-margarine-1e21c,117.8,0.30327868852459017,0.9655737704918033,2,0.23376623376623376,98.6,0.2803738317757009,0.9214953271028037,3,0.21804511278195488,0.6479508196721311,0.6222117326153904,2.5,0.0,17,0.6434579439252338,0.6605748032291219,2.4,0.0,15,1.5,1.5,14,12,1.0769230769230769,0.012295081967213115,1.0114795918367347,0.9809941520467836,37.357142857142854,2.5,2.5,11,8,1.2222222222222223,0.02336448598130841,0.9825528007346188,0.8434684684684685,36.85227272727273,0,0.0,0,0.0,3,0.013157894736842105,0,0.0,1.0345969138908782,0.07012987012987013,0.16198770491803277,0.30000000000000004,0.3024793388429752,0.2,1.1776931141555176,0.06541353383458647,0.16086448598130845,0.5,0.15141509433962266,0.30000000000000004,216.39999999999998,4.0,2.2122900280463957,1.0,0.022904856748889257,True
P907-A14-clever-sub-84f5e,130.9,0.3153846153846154,1.006923076923077,2,0.24096385542168672,101.1,0.29357798165137616,0.9275229357798165,3,0.22463768115942032,0.6011538461538461,0.6107519131433679,2.5,0.0,14,0.6486238532110092,0.652639619692593,2.4,0.0,19,-0.5,0.5,12,12,0.9230769230769231,0.0038461538461538464,1.0639880952380953,1.0014005602240896,43.25,1.0,1.0,9,7,1.125,0.009174311926605505,1.211111111111111,0.9533527696793002,32.46031746031746,0,0.0,0,0.0,3,0.012605042016806723,0,0.0,0.673740408862642,0.07228915662650601,0.15028846153846154,0.1,0.1511627906976744,0.2,1.0323250454283561,0.06739130434782609,0.1621559633027523,0.2,0.30277777777777776,0.30000000000000004,232.0,0.5,1.706065454290998,1.5,0.02180663373323921,True
P907-A14-compact-ginger-fdb61,147.5,0.3409090909090909,1.1174242424242424,7,0.2558139534883721,101.8,0.27522935779816515,0.9339449541284404,4,0.2164179104477612,0.6416666666666668,0.6551707696270778,2.5,0.0,18,0.6550458715596331,0.6922223536455795,2.4,0.0,19,1.0,1.0,13,12,1.0,0.007575757575757576,1.0153846153846153,0.9307692307692308,39.42307692307692,-3.0,3.0,7,10,0.6363636363636364,0.027522935779816515,1.015527950310559,1.011340206185567,33.128571428571426,2,0.008368200836820083,0,0.0,4,0.016666666666666666,0,0.0,1.8929036595246873,0.07674418604651163,0.1604166666666667,0.2,0.7557428068115091,0.7000000000000001,1.3800757299131257,0.06492537313432836,0.16376146788990828,0.6000000000000001,0.15138888888888888,0.4,249.3,-2.0,3.272979389437813,4.0,0.06567973311092573,True
P907-A14-concave-pinot-66fc0,133.3,0.31496062992125984,1.0496062992125985,3,0.24074074074074078,97.3,0.26126126126126126,0.8765765765765765,3,0.20588235294117646,0.6047244094488189,0.6046874988735442,2.5,0.0,16,0.668918918918919,0.6979717738056904,2.4,0.0,20,1.0,1.0,11,10,1.0,0.007874015748031496,1.0495867768595042,0.9292682926829268,38.49090909090909,0.5,0.5,7,6,1.0,0.0045045045045045045,1.3214285714285714,1.4453125,28.261904761904763,0,0.0,0,0.0,8,0.03375527426160337,0,0.0,1.7817366579177605,0.07222222222222223,0.15118110236220472,0.2,1.0583333333333333,0.30000000000000004,0.780358071975719,0.06176470588235294,0.16722972972972974,0.1,0.15136363636363634,0.30000000000000004,230.60000000000002,1.5,2.5620947298934795,0.5,0.05369936865999858,True
