antibody_id,isotype,fold,aa_comp_A,aa_comp_C,aa_comp_D,aa_comp_E,aa_comp_F,aa_comp_G,aa_comp_H,aa_comp_I,aa_comp_K,aa_comp_L,aa_comp_M,aa_comp_N,aa_comp_P,aa_comp_Q,aa_comp_R,aa_comp_S,aa_comp_T,aa_comp_V,aa_comp_W,aa_comp_Y,heavy_chain_length,light_chain_length,chain_length_ratio
GDPa1-001,0,2,0.056074766355140186,0.018691588785046728,0.018691588785046728,0.04672897196261682,0.037383177570093455,0.11214953271028037,0.037383177570093455,0.06542056074766354,0.06542056074766354,0.09345794392523364,0.0,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.1308411214953271,0.07476635514018691,0.037383177570093455,0.009345794392523364,0.056074766355140186,119,107,1.1121495327102804
GDPa1-002,0,0,0.04672897196261682,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.009345794392523364,0.07476635514018691,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.14018691588785046,0.102803738317757,0.037383177570093455,0.009345794392523364,0.07476635514018691,118,107,1.102803738317757
GDPa1-003,0,2,0.04672897196261682,0.018691588785046728,0.056074766355140186,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.009345794392523364,0.056074766355140186,0.04672897196261682,0.08411214953271028,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186,120,107,1.1214953271028036
GDPa1-004,0,0,0.06542056074766354,0.018691588785046728,0.037383177570093455,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.0,0.056074766355140186,0.04672897196261682,0.056074766355140186,0.009345794392523364,0.028037383177570093,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.1588785046728972,0.07476635514018691,0.04672897196261682,0.028037383177570093,0.037383177570093455,118,107,1.102803738317757
GDPa1-005,0,0,0.07476635514018691,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.056074766355140186,0.1308411214953271,0.09345794392523364,0.04672897196261682,0.009345794392523364,0.06542056074766354,121,107,1.1308411214953271
GDPa1-006,0,0,0.056074766355140186,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.18691588785046728,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186,124,107,1.158878504672897
GDPa1-007,0,3,0.037383177570093455,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.07476635514018691,0.06542056074766354,0.06542056074766354,0.009345794392523364,0.04672897196261682,0.056074766355140186,0.08411214953271028,0.037383177570093455,0.12149532710280374,0.102803738317757,0.037383177570093455,0.009345794392523364,0.04672897196261682,121,107,1.1308411214953271
GDPa1-008,0,2,0.04424778761061947,0.017699115044247787,0.04424778761061947,0.035398230088495575,0.035398230088495575,0.07964601769911504,0.0,0.04424778761061947,0.035398230088495575,0.07964601769911504,0.008849557522123894,0.04424778761061947,0.05309734513274336,0.07964601769911504,0.04424778761061947,0.12389380530973451,0.08849557522123894,0.05309734513274336,0.017699115044247787,0.07079646017699115,118,113,1.0442477876106195
GDPa1-009,0,2,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.04716981132075472,0.018867924528301886,0.08490566037735849,0.018867924528301886,0.04716981132075472,0.0660377358490566,0.03773584905660377,0.02830188679245283,0.009433962264150943,0.04716981132075472,0.04716981132075472,0.018867924528301886,0.19811320754716982,0.08490566037735849,0.04716981132075472,0.02830188679245283,0.05660377358490566,119,106,1.1226415094339623
GDPa1-010,0,3,0.056074766355140186,0.018691588785046728,0.056074766355140186,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.009345794392523364,0.056074766355140186,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.102803738317757,0.07476635514018691,0.009345794392523364,0.06542056074766354,115,107,1.074766355140187
