antibody_id,vh_length,hc_length,vl_length,lc_length,vh_hc_length_ratio,vl_lc_length_ratio,hc_lc_length_ratio,vh_aa_A,vh_aa_C,vh_aa_D,vh_aa_E,vh_aa_F,vh_aa_G,vh_aa_H,vh_aa_I,vh_aa_K,vh_aa_L,vh_aa_M,vh_aa_N,vh_aa_P,vh_aa_Q,vh_aa_R,vh_aa_S,vh_aa_T,vh_aa_V,vh_aa_W,vh_aa_Y,hc_aa_A,hc_aa_C,hc_aa_D,hc_aa_E,hc_aa_F,hc_aa_G,hc_aa_H,hc_aa_I,hc_aa_K,hc_aa_L,hc_aa_M,hc_aa_N,hc_aa_P,hc_aa_Q,hc_aa_R,hc_aa_S,hc_aa_T,hc_aa_V,hc_aa_W,hc_aa_Y,vl_aa_A,vl_aa_C,vl_aa_D,vl_aa_E,vl_aa_F,vl_aa_G,vl_aa_H,vl_aa_I,vl_aa_K,vl_aa_L,vl_aa_M,vl_aa_N,vl_aa_P,vl_aa_Q,vl_aa_R,vl_aa_S,vl_aa_T,vl_aa_V,vl_aa_W,vl_aa_Y,lc_aa_A,lc_aa_C,lc_aa_D,lc_aa_E,lc_aa_F,lc_aa_G,lc_aa_H,lc_aa_I,lc_aa_K,lc_aa_L,lc_aa_M,lc_aa_N,lc_aa_P,lc_aa_Q,lc_aa_R,lc_aa_S,lc_aa_T,lc_aa_V,lc_aa_W,lc_aa_Y
GDPa1-001,119,466,107,232,0.2553648068669528,0.46120689655172414,2.0086206896551726,0.10084033613445378,0.01680672268907563,0.03361344537815126,0.03361344537815126,0.025210084033613446,0.11764705882352941,0.008403361344537815,0.01680672268907563,0.06722689075630252,0.058823529411764705,0.01680672268907563,0.025210084033613446,0.025210084033613446,0.058823529411764705,0.03361344537815126,0.1092436974789916,0.08403361344537816,0.05042016806722689,0.04201680672268908,0.07563025210084033,0.06236559139784946,0.025806451612903226,0.034408602150537634,0.047311827956989246,0.03225806451612903,0.07096774193548387,0.021505376344086023,0.017204301075268817,0.07526881720430108,0.07741935483870968,0.012903225806451613,0.03870967741935484,0.07311827956989247,0.03870967741935484,0.025806451612903226,0.11182795698924732,0.07741935483870968,0.08817204301075268,0.023655913978494623,0.04516129032258064,0.056074766355140186,0.018691588785046728,0.018691588785046728,0.04672897196261682,0.037383177570093455,0.11214953271028037,0.037383177570093455,0.06542056074766354,0.06542056074766354,0.09345794392523364,0.0,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.1308411214953271,0.07476635514018691,0.037383177570093455,0.009345794392523364,0.056074766355140186,0.0735930735930736,0.025974025974025976,0.030303030303030304,0.05194805194805195,0.04329004329004329,0.0735930735930736,0.025974025974025976,0.03896103896103896,0.06493506493506493,0.09523809523809523,0.004329004329004329,0.030303030303030304,0.03896103896103896,0.06060606060606061,0.025974025974025976,0.12987012987012986,0.06926406926406926,0.06060606060606061,0.012987012987012988,0.04329004329004329
GDPa1-002,118,461,107,232,0.2559652928416486,0.46120689655172414,1.9870689655172413,0.07627118644067797,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.1016949152542373,0.00847457627118644,0.025423728813559324,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.01694915254237288,0.025423728813559324,0.059322033898305086,0.0423728813559322,0.1271186440677966,0.1016949152542373,0.059322033898305086,0.03389830508474576,0.06779661016949153,0.05434782608695652,0.030434782608695653,0.034782608695652174,0.05434782608695652,0.041304347826086954,0.06304347826086956,0.01956521739130435,0.017391304347826087,0.058695652173913045,0.06739130434782609,0.01956521739130435,0.03695652173913044,0.07391304347826087,0.041304347826086954,0.03260869565217391,0.11304347826086956,0.08478260869565217,0.09565217391304348,0.021739130434782608,0.0391304347826087,0.04672897196261682,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.009345794392523364,0.07476635514018691,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.14018691588785046,0.102803738317757,0.037383177570093455,0.009345794392523364,0.07476635514018691,0.06926406926406926,0.025974025974025976,0.04329004329004329,0.03896103896103896,0.04329004329004329,0.06060606060606061,0.012987012987012988,0.04329004329004329,0.06060606060606061,0.0735930735930736,0.008658008658008658,0.030303030303030304,0.047619047619047616,0.06493506493506493,0.03463203463203463,0.1341991341991342,0.08225108225108226,0.06060606060606061,0.012987012987012988,0.05194805194805195
GDPa1-003,120,464,107,232,0.25862068965517243,0.46120689655172414,2.0,0.041666666666666664,0.016666666666666666,0.06666666666666667,0.025,0.025,0.06666666666666667,0.008333333333333333,0.025,0.041666666666666664,0.09166666666666666,0.03333333333333333,0.025,0.041666666666666664,0.041666666666666664,0.03333333333333333,0.1,0.14166666666666666,0.1,0.03333333333333333,0.041666666666666664,0.04319654427645788,0.02591792656587473,0.04319654427645788,0.04967602591792657,0.0367170626349892,0.058315334773218146,0.017278617710583154,0.017278617710583154,0.06047516198704104,0.08639308855291576,0.017278617710583154,0.0367170626349892,0.0755939524838013,0.0367170626349892,0.03023758099352052,0.11447084233261338,0.09071274298056156,0.10151187904967603,0.02159827213822894,0.0367170626349892,0.04672897196261682,0.018691588785046728,0.056074766355140186,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.009345794392523364,0.056074766355140186,0.04672897196261682,0.08411214953271028,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186,0.06926406926406926,0.025974025974025976,0.047619047619047616,0.04329004329004329,0.047619047619047616,0.06493506493506493,0.012987012987012988,0.03463203463203463,0.05627705627705628,0.09090909090909091,0.008658008658008658,0.025974025974025976,0.047619047619047616,0.06060606060606061,0.03896103896103896,0.12987012987012986,0.07792207792207792,0.06060606060606061,0.012987012987012988,0.04329004329004329
GDPa1-004,118,461,107,232,0.2559652928416486,0.46120689655172414,1.9870689655172413,0.059322033898305086,0.01694915254237288,0.059322033898305086,0.05084745762711865,0.025423728813559324,0.1016949152542373,0.00847457627118644,0.01694915254237288,0.059322033898305086,0.059322033898305086,0.025423728813559324,0.0,0.03389830508474576,0.06779661016949153,0.01694915254237288,0.13559322033898305,0.09322033898305085,0.09322033898305085,0.03389830508474576,0.0423728813559322,0.05,0.030434782608695653,0.041304347826086954,0.05434782608695652,0.0391304347826087,0.06304347826086956,0.01956521739130435,0.015217391304347827,0.06521739130434782,0.06956521739130435,0.017391304347826087,0.03260869565217391,0.07608695652173914,0.043478260869565216,0.02608695652173913,0.11521739130434783,0.08260869565217391,0.10434782608695652,0.021739130434782608,0.03260869565217391,0.06542056074766354,0.018691588785046728,0.037383177570093455,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.0,0.056074766355140186,0.04672897196261682,0.056074766355140186,0.009345794392523364,0.028037383177570093,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.1588785046728972,0.07476635514018691,0.04672897196261682,0.028037383177570093,0.037383177570093455,0.07792207792207792,0.025974025974025976,0.03896103896103896,0.04329004329004329,0.047619047619047616,0.06493506493506493,0.008658008658008658,0.03463203463203463,0.05627705627705628,0.07792207792207792,0.008658008658008658,0.03463203463203463,0.047619047619047616,0.06493506493506493,0.03463203463203463,0.14285714285714285,0.06926406926406926,0.06493506493506493,0.021645021645021644,0.03463203463203463
GDPa1-005,121,468,107,232,0.25854700854700857,0.46120689655172414,2.0172413793103448,0.09090909090909091,0.01652892561983471,0.05785123966942149,0.04132231404958678,0.024793388429752067,0.09090909090909091,0.01652892561983471,0.024793388429752067,0.024793388429752067,0.09090909090909091,0.01652892561983471,0.03305785123966942,0.01652892561983471,0.04132231404958678,0.049586776859504134,0.1322314049586777,0.05785123966942149,0.08264462809917356,0.03305785123966942,0.05785123966942149,0.059957173447537475,0.02569593147751606,0.04068522483940043,0.04925053533190578,0.032119914346895075,0.06423982869379015,0.023554603854389723,0.019271948608137045,0.06423982869379015,0.08565310492505353,0.01284796573875803,0.04068522483940043,0.07066381156316917,0.034261241970021415,0.029978586723768737,0.11777301927194861,0.07066381156316917,0.09635974304068523,0.021413276231263382,0.04068522483940043,0.07476635514018691,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.056074766355140186,0.1308411214953271,0.09345794392523364,0.04672897196261682,0.009345794392523364,0.06542056074766354,0.08225108225108226,0.025974025974025976,0.03896103896103896,0.03896103896103896,0.03896103896103896,0.06060606060606061,0.008658008658008658,0.03463203463203463,0.05627705627705628,0.08225108225108226,0.008658008658008658,0.030303030303030304,0.047619047619047616,0.06493506493506493,0.047619047619047616,0.12987012987012986,0.07792207792207792,0.06493506493506493,0.012987012987012988,0.047619047619047616
GDPa1-006,124,471,107,232,0.2632696390658174,0.46120689655172414,2.0301724137931036,0.07258064516129033,0.016129032258064516,0.04838709677419355,0.024193548387096774,0.03225806451612903,0.12096774193548387,0.008064516129032258,0.024193548387096774,0.04838709677419355,0.056451612903225805,0.024193548387096774,0.024193548387096774,0.024193548387096774,0.04032258064516129,0.08064516129032258,0.08870967741935484,0.07258064516129033,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.05531914893617021,0.02553191489361702,0.03829787234042553,0.04468085106382979,0.03404255319148936,0.07234042553191489,0.02127659574468085,0.019148936170212766,0.07021276595744681,0.07659574468085106,0.014893617021276596,0.03829787234042553,0.07234042553191489,0.03404255319148936,0.03829787234042553,0.10638297872340426,0.07446808510638298,0.1,0.02127659574468085,0.0425531914893617,0.056074766355140186,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.18691588785046728,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186,0.0735930735930736,0.025974025974025976,0.03896103896103896,0.03896103896103896,0.04329004329004329,0.06060606060606061,0.008658008658008658,0.03463203463203463,0.05627705627705628,0.08658008658008658,0.008658008658008658,0.025974025974025976,0.047619047619047616,0.06493506493506493,0.03463203463203463,0.15584415584415584,0.07792207792207792,0.06060606060606061,0.012987012987012988,0.04329004329004329
GDPa1-007,121,468,107,232,0.25854700854700857,0.46120689655172414,2.0172413793103448,0.05785123966942149,0.01652892561983471,0.04132231404958678,0.03305785123966942,0.049586776859504134,0.09090909090909091,0.008264462809917356,0.01652892561983471,0.03305785123966942,0.0743801652892562,0.01652892561983471,0.024793388429752067,0.049586776859504134,0.05785123966942149,0.05785123966942149,0.09917355371900827,0.10743801652892562,0.09090909090909091,0.024793388429752067,0.049586776859504134,0.05139186295503212,0.02569593147751606,0.03640256959314775,0.047109207708779445,0.03854389721627409,0.06423982869379015,0.021413276231263382,0.017130620985010708,0.06638115631691649,0.08137044967880086,0.01284796573875803,0.03854389721627409,0.07922912205567452,0.03854389721627409,0.032119914346895075,0.10920770877944326,0.0835117773019272,0.09850107066381156,0.019271948608137045,0.03854389721627409,0.037383177570093455,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.07476635514018691,0.06542056074766354,0.06542056074766354,0.009345794392523364,0.04672897196261682,0.056074766355140186,0.08411214953271028,0.037383177570093455,0.12149532710280374,0.102803738317757,0.037383177570093455,0.009345794392523364,0.04672897196261682,0.06493506493506493,0.025974025974025976,0.04329004329004329,0.03896103896103896,0.04329004329004329,0.05627705627705628,0.012987012987012988,0.04329004329004329,0.06493506493506493,0.08225108225108226,0.008658008658008658,0.04329004329004329,0.047619047619047616,0.06493506493506493,0.03896103896103896,0.12554112554112554,0.08225108225108226,0.06060606060606061,0.012987012987012988,0.03896103896103896
GDPa1-010,115,462,107,232,0.24891774891774893,0.46120689655172414,1.9913793103448276,0.02608695652173913,0.017391304347826087,0.034782608695652174,0.034782608695652174,0.017391304347826087,0.10434782608695652,0.008695652173913044,0.02608695652173913,0.05217391304347826,0.10434782608695652,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.043478260869565216,0.02608695652173913,0.11304347826086956,0.10434782608695652,0.0782608695652174,0.034782608695652174,0.0782608695652174,0.04338394793926247,0.026030368763557483,0.03470715835140998,0.04772234273318872,0.03036876355748373,0.06724511930585683,0.021691973969631236,0.019522776572668113,0.07158351409978309,0.08893709327548807,0.015184381778741865,0.04121475054229935,0.07592190889370933,0.03470715835140998,0.02386117136659436,0.11279826464208242,0.0824295010845987,0.09544468546637744,0.021691973969631236,0.0455531453362256,0.056074766355140186,0.018691588785046728,0.056074766355140186,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.009345794392523364,0.056074766355140186,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.102803738317757,0.07476635514018691,0.009345794392523364,0.06542056074766354,0.0735930735930736,0.025974025974025976,0.047619047619047616,0.03896103896103896,0.03896103896103896,0.06060606060606061,0.012987012987012988,0.03463203463203463,0.06060606060606061,0.0735930735930736,0.008658008658008658,0.030303030303030304,0.04329004329004329,0.06060606060606061,0.03896103896103896,0.12987012987012986,0.08225108225108226,0.07792207792207792,0.012987012987012988,0.047619047619047616
GDPa1-011,120,467,111,235,0.2569593147751606,0.4723404255319149,1.9872340425531916,0.058333333333333334,0.016666666666666666,0.041666666666666664,0.03333333333333333,0.016666666666666666,0.13333333333333333,0.0,0.05,0.058333333333333334,0.058333333333333334,0.025,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.14166666666666666,0.06666666666666667,0.058333333333333334,0.041666666666666664,0.06666666666666667,0.05150214592274678,0.02575107296137339,0.03648068669527897,0.04721030042918455,0.030042918454935622,0.07510729613733906,0.019313304721030045,0.02575107296137339,0.07296137339055794,0.07725321888412018,0.015021459227467811,0.032188841201716736,0.07510729613733906,0.0407725321888412,0.02575107296137339,0.12017167381974249,0.07296137339055794,0.09012875536480687,0.023605150214592276,0.04291845493562232,0.06306306306306306,0.018018018018018018,0.04504504504504504,0.02702702702702703,0.018018018018018018,0.12612612612612611,0.009009009009009009,0.06306306306306306,0.036036036036036036,0.05405405405405406,0.009009009009009009,0.04504504504504504,0.05405405405405406,0.04504504504504504,0.018018018018018018,0.17117117117117117,0.08108108108108109,0.05405405405405406,0.009009009009009009,0.05405405405405406,0.09401709401709402,0.02564102564102564,0.029914529914529916,0.042735042735042736,0.02564102564102564,0.0811965811965812,0.01282051282051282,0.038461538461538464,0.05128205128205128,0.06837606837606838,0.008547008547008548,0.03418803418803419,0.0641025641025641,0.042735042735042736,0.021367521367521368,0.14957264957264957,0.08547008547008547,0.0641025641025641,0.017094017094017096,0.042735042735042736
GDPa1-014,118,465,107,232,0.2537634408602151,0.46120689655172414,2.0043103448275863,0.0847457627118644,0.01694915254237288,0.0423728813559322,0.03389830508474576,0.03389830508474576,0.1271186440677966,0.01694915254237288,0.025423728813559324,0.025423728813559324,0.06779661016949153,0.00847457627118644,0.01694915254237288,0.03389830508474576,0.0423728813559322,0.05084745762711865,0.11864406779661017,0.06779661016949153,0.07627118644067797,0.05084745762711865,0.059322033898305086,0.05818965517241379,0.02586206896551724,0.036637931034482756,0.04741379310344827,0.034482758620689655,0.07327586206896551,0.023706896551724137,0.01939655172413793,0.06465517241379311,0.07974137931034483,0.010775862068965518,0.036637931034482756,0.07543103448275862,0.034482758620689655,0.03017241379310345,0.11422413793103449,0.07327586206896551,0.09482758620689655,0.02586206896551724,0.040948275862068964,0.07476635514018691,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.04672897196261682,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.0,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.14953271028037382,0.09345794392523364,0.056074766355140186,0.009345794392523364,0.06542056074766354,0.08225108225108226,0.025974025974025976,0.04329004329004329,0.03896103896103896,0.047619047619047616,0.05627705627705628,0.012987012987012988,0.030303030303030304,0.05627705627705628,0.08225108225108226,0.008658008658008658,0.021645021645021644,0.047619047619047616,0.06493506493506493,0.03463203463203463,0.13852813852813853,0.07792207792207792,0.06926406926406926,0.012987012987012988,0.047619047619047616
