antibody_id,predicted_isotype,isotype_confidence,is_IgG,is_IgA,is_IgM,is_IgE,is_IgD,isotype_score_IgG,isotype_score_IgA,isotype_score_IgM,isotype_score_IgE,isotype_score_IgD
GDPa1-001,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-002,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-003,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-004,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-005,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-006,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-007,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-008,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-009,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-010,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-011,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-012,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-013,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-014,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-015,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-016,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-017,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-018,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-019,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-020,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-021,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-022,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-023,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-024,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-025,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-026,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-027,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-028,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-029,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-030,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-031,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-032,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-033,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-034,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-035,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-036,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-037,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-038,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-039,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-040,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-041,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-042,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-043,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-044,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-045,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-046,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-047,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-048,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-049,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-050,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-051,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-052,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-053,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-054,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-055,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-056,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-057,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-058,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-059,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-060,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-061,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-062,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-063,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-064,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-065,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-066,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-067,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-068,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-069,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-070,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-071,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
