antibody_id,electrostatic_potential,hydrophobicity_moment,aromatic_cluster_density
GDPa1-001,0.0,-0.49090909090909096,0.22727272727272727
GDPa1-002,-0.5,-0.22272727272727275,0.2727272727272727
GDPa1-003,-4.0,0.06153846153846151,0.23076923076923078
GDPa1-004,0.0,0.0,0.0
GDPa1-005,-1.5,-0.22272727272727275,0.22727272727272727
GDPa1-006,2.5,-0.13125,0.34375
GDPa1-007,4.0,-0.4864864864864865,0.1891891891891892
GDPa1-008,1.0,-0.27291666666666664,0.125
GDPa1-009,1.5,-0.5875,0.125
GDPa1-010,0.5,0.14857142857142855,0.22857142857142856
GDPa1-011,0.0,-0.3105263157894737,0.2894736842105263
GDPa1-012,-1.5,-0.2542857142857143,0.34285714285714286
GDPa1-013,0.0,-0.03076923076923077,0.23076923076923078
GDPa1-014,-1.5,0.1454545454545454,0.3181818181818182
GDPa1-015,0.0,0.0,0.0
GDPa1-016,3.0,-0.5,0.25
GDPa1-017,2.5,-0.059090909090909104,0.2727272727272727
GDPa1-018,1.5,-0.5875,0.125
GDPa1-019,0.5,-1.0769230769230769,0.3076923076923077
GDPa1-020,1.0,-0.8666666666666667,0.08333333333333333
GDPa1-021,0.0,-0.1583333333333333,0.0
GDPa1-022,1.0,-0.5818181818181819,0.2727272727272727
GDPa1-023,0.0,-0.76,0.4
GDPa1-024,4.0,-0.47608695652173916,0.21739130434782608
GDPa1-025,1.0,-0.4375,0.3333333333333333
GDPa1-026,2.0,-0.7555555555555555,0.25
GDPa1-027,3.0,-0.06111111111111113,0.19444444444444445
GDPa1-028,0.0,0.0,0.0
GDPa1-029,0.0,0.0,0.0
GDPa1-030,-0.5,-0.23750000000000002,0.34375
GDPa1-031,-1.0,0.026086956521739115,0.2608695652173913
GDPa1-032,2.0,-0.5568181818181818,0.29545454545454547
GDPa1-033,1.0,-0.5041666666666668,0.3333333333333333
GDPa1-034,0.0,-0.52,0.4
GDPa1-035,-0.5,-0.4954545454545455,0.2727272727272727
GDPa1-036,0.0,0.08333333333333331,0.0
GDPa1-037,0.0,-0.7083333333333334,0.16666666666666666
GDPa1-038,0.0,-1.1666666666666667,0.5
GDPa1-039,0.0,0.1888888888888889,0.18518518518518517
GDPa1-040,0.0,0.22499999999999998,0.16666666666666666
GDPa1-041,1.0,-0.11250000000000002,0.25
GDPa1-042,-1.0,-0.27,0.4
GDPa1-043,0.0,0.40833333333333327,0.16666666666666666
GDPa1-044,-1.5,-0.4171428571428572,0.2571428571428571
GDPa1-045,0.0,0.40833333333333327,0.16666666666666666
GDPa1-046,-3.0,0.1484848484848485,0.15151515151515152
GDPa1-047,0.0,0.0,0.0
GDPa1-048,1.5,-0.7090909090909091,0.3181818181818182
GDPa1-049,1.0,-0.11538461538461539,0.20512820512820512
GDPa1-050,0.0,0.17999999999999994,0.4
GDPa1-051,1.0,-1.5583333333333333,0.25
GDPa1-052,-3.0,-0.7749999999999999,0.19444444444444445
GDPa1-053,0.0,-0.4818181818181818,0.45454545454545453
GDPa1-054,-2.0,-0.276,0.2
GDPa1-055,-2.0,-0.5105263157894737,0.2894736842105263
GDPa1-056,1.0,0.03958333333333333,0.1875
GDPa1-057,1.0,-0.11666666666666668,0.1875
GDPa1-058,1.0,-0.38947368421052636,0.2631578947368421
GDPa1-059,1.0,-0.6291666666666667,0.16666666666666666
GDPa1-060,-1.0,-0.33513513513513515,0.1891891891891892
GDPa1-061,1.0,-0.3277777777777778,0.25
GDPa1-062,-1.5,-0.140625,0.25
GDPa1-063,1.0,-0.3166666666666667,0.1875
GDPa1-064,2.0,-0.634375,0.28125
GDPa1-065,0.0,-0.040000000000000036,0.5
GDPa1-066,0.5,-0.7000000000000001,0.5
GDPa1-067,1.5,-0.020454545454545475,0.2727272727272727
GDPa1-068,0.5,-0.15000000000000005,0.4
GDPa1-069,-1.0,-0.7727272727272727,0.2727272727272727
GDPa1-070,-2.0,-0.16153846153846155,0.23076923076923078
GDPa1-071,1.0,0.014583333333333328,0.1875
GDPa1-072,0.0,-0.6083333333333334,0.4166666666666667
GDPa1-073,1.5,-0.4117647058823529,0.29411764705882354
GDPa1-074,-1.0,-0.9833333333333334,0.3333333333333333
GDPa1-075,-1.5,-0.33636363636363636,0.2727272727272727
GDPa1-076,2.0,0.55,0.21739130434782608
GDPa1-077,1.5,0.3977272727272727,0.25
GDPa1-078,2.0,-0.10208333333333332,0.1875
GDPa1-079,0.0,-0.24210526315789477,0.2894736842105263
GDPa1-080,-2.0,-0.15416666666666667,0.1875
