antibody_id,vh_thermal_stability_score,vh_thermal_stability_sum,vh_thermal_stability_std,vh_thermal_stability_range,vh_helix_formers_propensity,vh_helix_formers_count,vh_sheet_formers_propensity,vh_sheet_formers_count,vh_turn_formers_propensity,vh_turn_formers_count,vh_helix_breakers_propensity,vh_helix_breakers_count,vh_sheet_breakers_propensity,vh_sheet_breakers_count,vh_cysteine_count,vh_potential_disulfides,vh_cysteine_density,vh_avg_cys_spacing,vh_min_cys_spacing,vh_max_cys_spacing,vh_optimal_spacing_count,vh_disulfide_quality_score,vh_flexible_residues_fraction,vh_flexible_residues_count,vh_rigid_residues_fraction,vh_rigid_residues_count,vh_hydrophobic_core_fraction,vh_hydrophobic_core_count,vh_surface_polar_fraction,vh_surface_polar_count,vh_sequence_entropy,vh_aa_diversity,vh_most_frequent_aa_fraction,vh_entropy_normalized,vh_avg_local_entropy,vh_max_local_entropy,vh_entropy_variation,vh_thermostable_DY_count,vh_thermostable_WG_count,vh_thermostable_YY_count,vh_thermolabile_NG_count,vh_thermolabile_DN_count,vh_thermolabile_GG_count,vh_stabilizing_LEWV_count,vh_stabilizing_WGKG_count,vh_thermal_motif_balance,vh_thermal_motif_ratio,vl_thermal_stability_score,vl_thermal_stability_sum,vl_thermal_stability_std,vl_thermal_stability_range,vl_helix_formers_propensity,vl_helix_formers_count,vl_sheet_formers_propensity,vl_sheet_formers_count,vl_turn_formers_propensity,vl_turn_formers_count,vl_helix_breakers_propensity,vl_helix_breakers_count,vl_sheet_breakers_propensity,vl_sheet_breakers_count,vl_cysteine_count,vl_potential_disulfides,vl_cysteine_density,vl_avg_cys_spacing,vl_min_cys_spacing,vl_max_cys_spacing,vl_optimal_spacing_count,vl_disulfide_quality_score,vl_flexible_residues_fraction,vl_flexible_residues_count,vl_rigid_residues_fraction,vl_rigid_residues_count,vl_hydrophobic_core_fraction,vl_hydrophobic_core_count,vl_surface_polar_fraction,vl_surface_polar_count,vl_sequence_entropy,vl_aa_diversity,vl_most_frequent_aa_fraction,vl_entropy_normalized,vl_avg_local_entropy,vl_max_local_entropy,vl_entropy_variation,vl_thermostable_DY_count,vl_thermostable_WG_count,vl_thermostable_YY_count,vl_thermolabile_NG_count,vl_thermolabile_DN_count,vl_thermolabile_GG_count,vl_stabilizing_LEWV_count,vl_stabilizing_WGKG_count,vl_thermal_motif_balance,vl_thermal_motif_ratio,vh_hydrophobic_core_compactness,vh_core_size,vh_core_density,vh_surface_charge_density,vh_flexibility_ratio,vh_structural_rigidity,vh_flexibility_index,vh_abmelt_stability_score,vh_estimated_tm_contribution,vh_thermal_cooperativity,vh_unfolding_resistance,vl_hydrophobic_core_compactness,vl_core_size,vl_core_density,vl_surface_charge_density,vl_flexibility_ratio,vl_structural_rigidity,vl_flexibility_index,vl_abmelt_stability_score,vl_estimated_tm_contribution,vl_thermal_cooperativity,vl_unfolding_resistance,vh_vhh_vhh_stable_DY,vh_vhh_vhh_stable_WG,vh_vhh_vhh_stable_YY,vh_vhh_fr1_thermal_score,vh_vhh_fr4_thermal_score,vh_vhh_framework_stability_balance,vh_vhh_nanobody_size_factor,vh_vhh_compact_domain_score,combined_thermal_score,combined_abmelt_score,combined_cysteine_count,combined_disulfide_potential,vh_vl_thermal_balance,thermal_domain_cooperativity,predicted_thermal_stability,extraction_success
P907-A14-arid-pond-618a6,-0.067479674796748,-8.300000000000004,0.49394643318398285,1.6,0.2926829268292683,36,0.3008130081300813,37,0.3008130081300813,37,0.14634146341463414,18,0.14634146341463414,18,2,1,0.016260162601626018,74.0,74,74,0,0.5,0.3170731707317073,39,0.04878048780487805,6,0.36585365853658536,45,0.44715447154471544,55,4.091934903769791,20,0.12195121951219512,0.9467845864003053,2.9042813404558507,3.3219280948873626,0.22649000469003877,0,1,1,0,1,2,1,0,-1,0.5,-0.08037383177570095,-8.600000000000001,0.48287287704942633,1.6,0.2523364485981308,27,0.308411214953271,33,0.2897196261682243,31,0.16822429906542055,18,0.16822429906542055,18,2,1,0.018691588785046728,65.0,65,65,0,0.5,0.3177570093457944,34,0.07476635514018691,8,0.308411214953271,33,0.45794392523364486,49,3.9760884161013257,19,0.12149532710280374,0.9199802330827417,2.7421367682684457,3.1219280948873624,0.27370749705396386,0,0,1,0,0,1,0,0,0,0.5,0.26993865030674846,45,0.36585365853658536,0.21951219512195122,5.571428571428571,0.04878048780487805,0.3170731707317073,0.5152439024390243,81.21951219512195,0.0,0.3414634146341463,0.23529411764705882,33,0.308411214953271,0.17757009345794392,3.7777777777777777,0.07476635514018691,0.3177570093457944,0.5058411214953271,80.46728971962617,0.0,0.3411214953271028,0,1,1,-0.06333333333333334,-0.04000000000000002,0,0.5138339920948617,0.056910569105691054,-0.14785350657244895,1.0210850239343514,4,2,0.01289415697895295,0.005423600030392831,0.7359152040118532,True
P907-A14-asphalt-resin-c0dd5,-0.03333333333333333,-4.3,0.45974939808979376,1.6,0.23255813953488372,30,0.3333333333333333,43,0.27906976744186046,36,0.10852713178294573,14,0.10852713178294573,14,2,1,0.015503875968992248,74.0,74,74,0,0.5,0.34108527131782945,44,0.046511627906976744,6,0.3488372093023256,45,0.46511627906976744,60,3.984497261833504,19,0.13953488372093023,0.9219258567829892,2.7553295328045038,3.3219280948873626,0.3790513191069906,0,1,2,0,1,2,1,0,0,0.75,-0.09074074074074073,-9.799999999999999,0.49188545735263084,1.6,0.25925925925925924,28,0.26851851851851855,29,0.32407407407407407,35,0.16666666666666666,18,0.16666666666666666,18,2,1,0.018518518518518517,65.0,65,65,0,0.5,0.3425925925925926,37,0.06481481481481481,7,0.3148148148148148,34,0.46296296296296297,50,3.9687373871996376,18,0.1111111111111111,0.9182793651505834,2.8076089533945496,3.3219280948873626,0.24023013834581555,0,0,0,0,0,0,0,0,0,0.0,0.2603550295857988,45,0.3488372093023256,0.17829457364341086,6.285714285714286,0.046511627906976744,0.34108527131782945,0.499031007751938,79.92248062015504,0.0,0.3294573643410853,0.24087591240875914,34,0.3148148148148148,0.16666666666666666,4.625,0.06481481481481481,0.3425925925925926,0.4953703703703704,79.62962962962963,0.0,0.3287037037037037,0,1,2,-0.08333333333333333,0.02666666666666666,0,0.5019305019305019,0.05426356589147287,-0.12407407407407406,0.9944013781223084,4,2,0.0574074074074074,0.003024691358024691,0.736378122308355,True
P907-A14-associative-shrike-139f0,-0.03474576271186442,-4.100000000000001,0.47894253550144605,1.6,0.2457627118644068,29,0.3389830508474576,40,0.2966101694915254,35,0.1271186440677966,15,0.1271186440677966,15,2,1,0.01694915254237288,74.0,74,74,0,0.5,0.3305084745762712,39,0.05084745762711865,6,0.3644067796610169,43,0.4322033898305085,51,4.049158807317482,20,0.1271186440677966,0.9368871296372204,2.930787854023962,3.3219280948873626,0.2817242112203401,1,1,1,0,1,1,1,0,1,1.0,-0.06355140186915889,-6.800000000000002,0.4703135806887547,1.6,0.27102803738317754,29,0.2897196261682243,31,0.29906542056074764,32,0.14018691588785046,15,0.14018691588785046,15,2,1,0.018691588785046728,65.0,65,65,0,0.5,0.3364485981308411,36,0.06542056074766354,7,0.29906542056074764,32,0.48598130841121495,52,3.896541029912423,18,0.14953271028037382,0.9015747010048241,2.7816825718420812,3.3219280948873626,0.26460275117753057,0,0,1,0,0,0,0,0,1,1.0,0.2692307692307692,43,0.3644067796610169,0.15254237288135594,5.571428571428571,0.05084745762711865,0.3305084745762712,0.5127118644067796,81.01694915254237,0.0,0.3347457627118644,0.2296296296296296,32,0.29906542056074764,0.14018691588785046,4.5,0.06542056074766354,0.3364485981308411,0.4894859813084112,79.1588785046729,0.0,0.3317757009345794,1,1,1,-0.033333333333333354,0.006666666666666674,0,0.5241935483870968,0.059322033898305086,-0.0982971645810233,1.0021978457151908,4,2,0.02880563915729447,0.002208141929352132,0.7460603120544907,True
P907-A14-average-limiter-a125e,-0.0867256637168142,-9.800000000000004,0.4903501412488729,1.6,0.19469026548672566,22,0.3274336283185841,37,0.35398230088495575,40,0.17699115044247787,20,0.17699115044247787,20,2,1,0.017699115044247787,74.0,74,74,0,0.5,0.35398230088495575,40,0.07964601769911504,9,0.3185840707964602,36,0.4247787610619469,48,4.004223075588359,19,0.1415929203539823,0.9264899803227098,2.7748604145136104,3.1219280948873624,0.22962033552409508,1,1,2,0,1,2,0,0,1,1.0,-0.08333333333333336,-9.000000000000002,0.4773576964608095,1.6,0.25925925925925924,28,0.28703703703703703,31,0.3148148148148148,34,0.16666666666666666,18,0.16666666666666666,18,2,1,0.018518518518518517,66.0,66,66,0,0.5,0.32407407407407407,35,0.08333333333333333,9,0.28703703703703703,31,0.48148148148148145,52,3.873206890962703,18,0.12962962962962962,0.8961756896290163,2.790912665502649,3.3219280948873626,0.2912406367765624,0,0,1,0,0,0,0,0,1,1.0,0.24305555555555558,36,0.3185840707964602,0.1504424778761062,4.0,0.07964601769911504,0.35398230088495575,0.5055309734513275,80.4424778761062,0.0,0.3230088495575221,0.2222222222222222,31,0.28703703703703703,0.18518518518518517,3.5,0.08333333333333333,0.32407407407407407,0.5,80.0,0.0,0.33796296296296297,1,1,2,-0.11666666666666664,-0.07333333333333333,0,0.5349794238683128,0.08849557522123894,-0.17005899705014754,1.0055309734513274,4,2,0.0033923303834808433,0.007227138643067852,0.7253650442477876,True
P907-A14-broad-vertex-224ba,-0.05169491525423729,-6.1000000000000005,0.47295197212851015,1.6,0.2288135593220339,27,0.3474576271186441,41,0.3305084745762712,39,0.15254237288135594,18,0.15254237288135594,18,2,1,0.01694915254237288,74.0,74,74,0,0.5,0.3220338983050847,38,0.07627118644067797,9,0.3559322033898305,42,0.4067796610169492,48,3.9415425713560466,20,0.1694915254237288,0.9119870772534846,2.745868456326734,3.3219280948873626,0.24919322187288906,1,2,3,0,0,1,1,0,5,3.0,-0.059813084112149535,-6.4,0.46239114669193915,1.6,0.2803738317757009,30,0.27102803738317754,29,0.29906542056074764,32,0.14953271028037382,16,0.14953271028037382,16,2,1,0.018691588785046728,65.0,65,65,0,0.5,0.3364485981308411,36,0.08411214953271028,9,0.3177570093457944,34,0.4766355140186916,51,3.9469251012493016,20,0.14018691588785046,0.9132324774024649,2.8008601101272554,3.1219280948873624,0.2553570685463169,0,0,1,0,0,0,0,0,1,1.0,0.2645161290322581,42,0.3559322033898305,0.15254237288135594,3.8,0.07627118644067797,0.3220338983050847,0.5296610169491525,82.3728813559322,0.0,0.3389830508474576,0.2391304347826087,34,0.3177570093457944,0.14953271028037382,3.6,0.08411214953271028,0.3364485981308411,0.5128504672897196,81.02803738317758,0.0,0.3317757009345794,1,2,3,-0.06333333333333335,-0.003333333333333318,0,0.5241935483870968,0.07627118644067797,-0.11150799936638683,1.042511484238872,4,2,0.008118168857912243,0.003092032314272137,0.752175471249802,True
P907-A14-celeste-render-c7237,-0.06615384615384616,-8.600000000000001,0.4869929467430866,1.6,0.24615384615384617,32,0.33076923076923076,43,0.3076923076923077,40,0.13846153846153847,18,0.13846153846153847,18,2,1,0.015384615384615385,74.0,74,74,0,0.5,0.3384615384615385,44,0.05384615384615385,7,0.35384615384615387,46,0.43846153846153846,57,4.0093591608725765,19,0.13846153846153847,0.9276783585584081,2.789932741626419,3.3219280948873626,0.3199238120988046,0,1,2,0,1,3,1,0,-1,0.6,-0.12110091743119267,-13.200000000000001,0.47372685864816966,1.6,0.24770642201834864,27,0.25688073394495414,28,0.3486238532110092,38,0.1651376146788991,18,0.1651376146788991,18,2,1,0.01834862385321101,65.0,65,65,0,0.5,0.3761467889908257,41,0.05504587155963303,6,0.27522935779816515,30,0.48623853211009177,53,3.9666220255561955,19,0.13761467889908258,0.9177899165533371,2.7335328638606042,3.3219280948873626,0.2634082161204721,1,0,2,0,0,1,0,0,2,1.5,0.2631578947368421,46,0.35384615384615387,0.18461538461538463,5.5,0.05384615384615385,0.3384615384615385,0.5076923076923078,80.61538461538461,0.0,0.33076923076923076,0.2164179104477612,30,0.27522935779816515,0.1651376146788991,5.857142857142857,0.05504587155963303,0.3761467889908257,0.45986238532110096,76.78899082568807,0.0,0.3119266055045872,0,1,2,-0.08666666666666666,-0.07333333333333333,0,0.5,0.046153846153846156,-0.18725476358503884,0.9675546930134087,4,2,0.05494707127734651,0.008011291460832747,0.7107122441778405,True
P907-A14-citric-margarine-1e21c,-0.0655737704918033,-8.000000000000002,0.4702232625988022,1.6,0.2540983606557377,31,0.3114754098360656,38,0.2786885245901639,34,0.13934426229508196,17,0.13934426229508196,17,2,1,0.01639344262295082,76.0,76,76,0,0.5,0.3442622950819672,42,0.04918032786885246,6,0.3114754098360656,38,0.4672131147540984,57,3.987462820130851,20,0.13114754098360656,0.9226120223628504,2.8178907997634868,3.3219280948873626,0.2672240997260829,1,1,1,0,0,3,1,0,0,0.75,-0.08317757009345797,-8.900000000000002,0.46854038242630597,1.6,0.2523364485981308,27,0.2803738317757009,30,0.2803738317757009,30,0.14018691588785046,15,0.14018691588785046,15,2,1,0.018691588785046728,65.0,65,65,0,0.5,0.3364485981308411,36,0.06542056074766354,7,0.27102803738317754,29,0.514018691588785,55,4.025545894855715,20,0.12149532710280374,0.931423616144319,2.7595036560323782,3.1219280948873624,0.25207820559694993,0,0,1,0,0,0,0,0,1,1.0,0.2387096774193548,38,0.3114754098360656,0.21311475409836064,6.0,0.04918032786885246,0.3442622950819672,0.48155737704918034,78.52459016393442,0.0,0.3278688524590164,0.21212121212121213,29,0.27102803738317754,0.17757009345794392,4.5,0.06542056074766354,0.3364485981308411,0.4754672897196261,78.03738317757009,0.0,0.3317757009345794,1,1,1,-0.09333333333333335,-0.030000000000000006,0,0.5158730158730159,0.05737704918032787,-0.14875134058526127,0.9570246667688065,4,2,0.017603799601654674,0.005454266891374295,0.7196307645166233,True
P907-A14-clever-sub-84f5e,-0.06692307692307695,-8.700000000000003,0.4589936251507139,1.6,0.24615384615384617,32,0.3076923076923077,40,0.26153846153846155,34,0.1076923076923077,14,0.1076923076923077,14,2,1,0.015384615384615385,74.0,74,74,0,0.5,0.36153846153846153,47,0.03076923076923077,4,0.3230769230769231,42,0.5076923076923077,66,3.959824106516147,20,0.13076923076923078,0.9162170261926459,2.787301049853663,3.3219280948873626,0.27832712720187847,0,1,1,0,0,0,0,0,2,2.0,-0.08899082568807339,-9.7,0.46616519683640056,1.6,0.26605504587155965,29,0.26605504587155965,29,0.29357798165137616,32,0.1743119266055046,19,0.1743119266055046,19,2,1,0.01834862385321101,68.0,68,68,0,0.5,0.3761467889908257,41,0.07339449541284404,8,0.29357798165137616,32,0.45871559633027525,50,3.901171376253671,19,0.13761467889908258,0.9026460622675729,2.7124092822683723,3.3219280948873626,0.2814845710540642,0,0,1,0,0,3,0,0,-2,0.25,0.24550898203592814,42,0.3230769230769231,0.18461538461538463,9.4,0.03076923076923077,0.36153846153846153,0.46923076923076923,77.53846153846155,0.0,0.3192307692307692,0.22463768115942032,32,0.29357798165137616,0.14678899082568808,4.555555555555555,0.07339449541284404,0.3761467889908257,0.4827981651376147,78.62385321100918,0.0,0.3119266055045872,0,1,1,-0.04333333333333334,-0.08666666666666667,0,0.5,0.038461538461538464,-0.15591390261115035,0.9520289343683839,4,2,0.02206774876499644,0.005955539872971067,0.7162330628087509,True
P907-A14-compact-ginger-fdb61,-0.03181818181818182,-4.2,0.47407296807913535,1.6,0.25,33,0.3560606060606061,47,0.24242424242424243,32,0.13636363636363635,18,0.13636363636363635,18,2,1,0.015151515151515152,76.0,76,76,0,0.5,0.3106060606060606,41,0.045454545454545456,6,0.3484848484848485,46,0.4166666666666667,55,3.9708943512152324,19,0.11363636363636363,0.9187784396303615,2.7791446686023966,3.3219280948873626,0.3502391157676555,1,1,3,0,0,2,1,1,3,1.6666666666666667,-0.10917431192660551,-11.9,0.46836457304655,1.6,0.25688073394495414,28,0.27522935779816515,30,0.3119266055045872,34,0.1743119266055046,19,0.1743119266055046,19,2,1,0.01834862385321101,65.0,65,65,0,0.5,0.3302752293577982,36,0.08256880733944955,9,0.26605504587155965,29,0.46788990825688076,51,3.8501066585040773,17,0.13761467889908258,0.8908307991191644,2.723467932294333,3.3219280948873626,0.3343863457653549,1,0,1,0,0,1,0,0,1,1.0,0.26011560693641617,46,0.3484848484848485,0.1893939393939394,5.857142857142857,0.045454545454545456,0.3106060606060606,0.5056818181818182,80.45454545454547,0.0,0.3446969696969697,0.21052631578947367,29,0.26605504587155965,0.1559633027522936,3.6,0.08256880733944955,0.3302752293577982,0.4873853211009174,78.99082568807339,0.0,0.3348623853211009,1,1,3,-0.09333333333333332,0.05333333333333334,0,0.4961832061068702,0.05303030303030303,-0.14099249374478734,0.9930671392827357,4,2,0.07735613010842368,0.00347372810675563,0.7309690366972478,True
P907-A14-concave-pinot-66fc0,-0.03937007874015747,-4.999999999999999,0.4791983923827359,1.6,0.2125984251968504,27,0.3700787401574803,47,0.2992125984251969,38,0.12598425196850394,16,0.12598425196850394,16,2,1,0.015748031496062992,73.0,73,73,0,0.5,0.3464566929133858,44,0.047244094488188976,6,0.33070866141732286,42,0.4409448818897638,56,4.001745752981878,19,0.14173228346456693,0.9259167818446019,2.836656235975548,3.3219280948873626,0.31765265984795554,0,1,4,0,1,3,1,1,1,1.0,-0.13153153153153152,-14.6,0.4657614093580575,1.6,0.1891891891891892,21,0.26126126126126126,29,0.40540540540540543,45,0.18018018018018017,20,0.18018018018018017,20,2,1,0.018018018018018018,68.0,68,68,0,0.5,0.44144144144144143,49,0.06306306306306306,7,0.25225225225225223,28,0.4864864864864865,54,3.8732924959697046,20,0.1891891891891892,0.8961954967625739,2.650199284105729,3.3219280948873626,0.30928069717905626,1,0,1,0,0,2,0,0,0,0.6666666666666666,0.25,42,0.33070866141732286,0.16535433070866143,6.285714285714286,0.047244094488188976,0.3464566929133858,0.4891732283464567,79.13385826771653,0.0,0.32677165354330706,0.2,28,0.25225225225225223,0.11711711711711711,6.125,0.06306306306306306,0.44144144144144143,0.4380630630630631,75.04504504504504,0.0,0.2792792792792793,0,1,4,-0.09666666666666665,-0.010000000000000005,0,0.5058365758754864,0.047244094488188976,-0.170901610271689,0.9272362914095198,4,2,0.09216145279137405,0.0051784067532099015,0.7055385897708732,True
